trial,top1_accuracy
1,0.5714285714285714
2,0.6071428571428571
3,0.8214285714285714
4,0.7321428571428571
5,0.7142857142857143
6,0.6785714285714286
7,0.875
8,0.7321428571428571
9,0.6785714285714286
10,0.7857142857142857
11,0.625
12,0.7857142857142857
13,0.75
14,0.6607142857142857
15,0.7857142857142857
16,0.8035714285714286
17,0.8214285714285714
18,0.625
19,0.7857142857142857
20,0.8035714285714286
21,0.7857142857142857
22,0.8392857142857143
23,0.7678571428571429
24,0.6964285714285714
25,0.8392857142857143
26,0.6785714285714286
27,0.6607142857142857
28,0.75
29,0.6964285714285714
30,0.7321428571428571
31,0.7678571428571429
32,0.6607142857142857
33,0.6785714285714286
34,0.8214285714285714
35,0.75
36,0.75
37,0.6607142857142857
38,0.8214285714285714
39,0.8392857142857143
40,0.7678571428571429
