task,parameter,mean,median,sd,q025,q10,q90,q975
FullcrossNoTimelimited,alpha_neg_pop,0.8045708276891567,0.8100528267143408,0.07717606842303398,0.6386227344395918,0.7028610431927558,0.8997619519330273,0.929745272545598
FullcrossNoTimelimited,alpha_pos_pop,0.8135765167640446,0.8174302073835371,0.06732559424486446,0.6752845876149893,0.7255283716462052,0.9007035095116256,0.9368925226504735
FullcrossNoTimelimited,mu_alpha_neg_logit,1.4937010160073807,1.4503535953652147,0.5193544196256826,0.5693914117488559,0.8609596789366959,2.1945824325904066,2.5827831547574105
FullcrossNoTimelimited,mu_alpha_pos_logit,1.5465250068836414,1.4990330290487717,0.4965438387046594,0.73218516822895785,0.9720523746284088,2.205065914553934,2.697734949053784
FullcrossNoTimelimited,mu_beta_slope,0.2908936083125939,0.28812661236467507,0.2720733880292903,-0.23809675005732642,-0.05998388483366291,0.6331081536028894,0.8537611334571189
FullcrossNoTimelimited,mu_bias,0.021840751317499102,0.021877572749707454,0.023555719463274095,-0.02490978915686432,-0.008774767978311353,0.0531340689519419,0.0656461042480149
FullcrossNoTimelimited,mu_gamma,-0.079296513477612,-0.08298826263859899,0.07530751835636777,-0.22190170092030695,-0.17484778688654162,0.017505575573928976,0.0756801901560428
FullcrossNoTimelimited,mu_log_beta0,0.13497853268245527,0.14429020135096654,0.2688419436357143,-0.40372764854943105,-0.2226974293387076,0.47112747812502925,0.6405099134824659
FullcrossNoTimelimited,sigma_alpha_neg,0.9573429874996158,0.9429106103177691,0.6324248293000158,0.0405673895486674,0.14202846094663496,1.7823189185477808,2.166900259136455
FullcrossNoTimelimited,sigma_alpha_pos,0.418116211215477,0.34116887534593077,0.3347847080879931,0.013240605768423192,0.06290641871366257,0.8653498543250041,1.2865646381875164
FullcrossNoTimelimited,sigma_beta_slope,0.2652581132035888,0.22808380355772614,0.1988220757286594,0.007493229526731415,0.03745093998625875,0.5534933186101296,0.7297208991765878
FullcrossNoTimelimited,sigma_bias,0.04226998725724989,0.0372699228593382,0.029775910581744797,0.0024271831315397173,0.007731527360901235,0.0843687175025774,0.10954500156329425
FullcrossNoTimelimited,sigma_gamma,0.5303848575343981,0.5292380803536512,0.0859761033098657,0.3713477260432821,0.4218427053847057,0.6432650964154631,0.7066637875831264
FullcrossNoTimelimited,sigma_log_beta0,1.0321234602866132,1.0224866091970184,0.1780978717529576,0.7133482465422449,0.8171149699616301,1.256219065617028,1.4030959607670799
FullcrossTimelimited,alpha_neg_pop,0.7173756621392002,0.7251109089302439,0.10619295004838504,0.49226414827710274,0.5739430166172573,0.8512522567492913,0.9064967742812582
FullcrossTimelimited,alpha_pos_pop,0.7413557157074877,0.7432860839348384,0.09631684221659317,0.5519110517585951,0.6183718754560823,0.8655460038214857,0.9120579995995864
