parameter,task_a,task_b,n_draws_used,diff_mean,diff_median,diff_q025,diff_q10,diff_q90,diff_q975,p_diff_gt_0,posterior_tail_p
alpha_neg_pop,FullcrossNoTimelimited,FullcrossTimelimited,1200,0.08719516554995646,0.0875704263382085,-0.1749786380531494,-0.08108479066797993,0.26528440416893945,0.35953112847784424,0.7383333333333333,0.5233333333333334
alpha_neg_pop,FullcrossNoTimelimited,FulltickNoTimelimited,1200,0.018295817997248335,0.016863909699509627,-0.21897475800613328,-0.146738945895825,0.18005080479502789,0.2876965532559863,0.5466666666666666,0.9066666666666667
alpha_neg_pop,FullcrossNoTimelimited,FulltickNoTimelimited4060,1200,0.7286026868055911,0.7346114826697074,0.5374311291168278,0.6060679164340639,0.8364365634812678,0.8714887726438354,1,0
alpha_neg_pop,FullcrossNoTimelimited,FulltickTimelimited,1200,0.04169459427939396,0.04313944048403201,-0.17507814820440987,-0.09325679217009335,0.1794545018775962,0.25465888986153074,0.6433333333333333,0.7133333333333334
alpha_neg_pop,FullcrossNoTimelimited,PartialcrossNoTimelimited,1200,0.08866276604865185,0.09417984208096447,-0.14443237106565626,-0.0503079992195155,0.21379000742805185,0.29360421017760047,0.8175,0.365
alpha_neg_pop,FullcrossNoTimelimited,PartialcrossTimelimited,1200,0.14323326957274538,0.1425088555034934,-0.14407221966214562,-0.03370295824089479,0.32316761160294794,0.40766395357284735,0.8575,0.2849999999999999
alpha_neg_pop,FullcrossNoTimelimited,PartialtickNoTimelimited,1200,0.15834062652794692,0.16425841334352936,-0.05406058872929858,0.039010866962789825,0.27913434046376767,0.32801906278897425,0.945,0.1100000000000001
alpha_neg_pop,FullcrossNoTimelimited,PartialtickNoTimelimited4060,1200,0.047465836178594956,0.037371795109513384,-0.19904711205342088,-0.12972129226030252,0.22844071896946222,0.3392934010445364,0.6133333333333333,0.7733333333333334
alpha_neg_pop,FullcrossNoTimelimited,PartialtickTimelimited,1200,0.06633971371749038,0.072023838998648,-0.15336937025050087,-0.0657860030849414,0.19016245381273852,0.24149652210979677,0.7575,0.4850000000000001
alpha_neg_pop,FullcrossTimelimited,FulltickNoTimelimited,1200,-0.06889934755270812,-0.07091527913045415,-0.33450447093308155,-0.24631893980856737,0.11232466078202026,0.21167447252080776,0.2991666666666667,0.5983333333333334
alpha_neg_pop,FullcrossTimelimited,FulltickNoTimelimited4060,1200,0.6414075212556347,0.6473272101809889,0.3971235507758774,0.48501017131594837,0.7817088003568511,0.8477199893955314,1,0
alpha_neg_pop,FullcrossTimelimited,FulltickTimelimited,1200,-0.04550057127056249,-0.043707662187193685,-0.3190292622317177,-0.2185723848109168,0.12627284650894485,0.2088804592713374,0.37583333333333335,0.7516666666666667
alpha_neg_pop,FullcrossTimelimited,PartialcrossNoTimelimited,1200,0.001467600498695402,0.008138189759534453,-0.26725769610237754,-0.16267216212371827,0.16334127120231157,0.23772996521372852,0.5141666666666667,0.9716666666666667
alpha_neg_pop,FullcrossTimelimited,PartialcrossTimelimited,1200,0.05603810402278892,0.051113515557160094,-0.2347577414531545,-0.1290017092305574,0.2608355263587993,0.3596852052374822,0.6391666666666667,0.7216666666666667
alpha_neg_pop,FullcrossTimelimited,PartialtickNoTimelimited,1200,0.07114546097799047,0.06848578084983648,-0.1704152580143357,-0.0832729834266311,0.22904938308015393,0.2933679653672112,0.7316666666666667,0.5366666666666666
alpha_neg_pop,FullcrossTimelimited,PartialtickNoTimelimited4060,1200,-0.0397293293713615,-0.04142959199357049,-0.3430321559754902,-0.2467713400369389,0.16236128309732592,0.28753871875712844,0.3908333333333333,0.7816666666666666
alpha_neg_pop,FullcrossTimelimited,PartialtickTimelimited,1200,-0.020855451832466076,-0.01494594706688035,-0.2750643812658958,-0.18326074664225175,0.1274292791390367,0.21298190823614002,0.4375,0.875
alpha_neg_pop,FulltickNoTimelimited,FulltickNoTimelimited4060,1200,0.7103068688083428,0.724664975318505,0.46319926204963036,0.5631362717545069,0.8359999393191053,0.8816826129741281,1,0
alpha_neg_pop,FulltickNoTimelimited,FulltickTimelimited,1200,0.023398776282145626,0.029723567214499425,-0.24367197790915768,-0.14505541719420326,0.17777185220734124,0.25515821116166504,0.6016666666666667,0.7966666666666666
alpha_neg_pop,FulltickNoTimelimited,PartialcrossNoTimelimited,1200,0.07036694805140352,0.07897045021586546,-0.18541602111805866,-0.08816462124497555,0.21822955000521682,0.28385805441354084,0.7375,0.5249999999999999
alpha_neg_pop,FulltickNoTimelimited,PartialcrossTimelimited,1200,0.12493745157549704,0.123002116471353,-0.15248091843066186,-0.06088642921706456,0.31500173779839385,0.39875942934583003,0.795,0.4099999999999999
alpha_neg_pop,FulltickNoTimelimited,PartialtickNoTimelimited,1200,0.1400448085306986,0.15017542652802274,-0.10372337061846212,-0.009902936217046571,0.2763024443201061,0.33645406119222915,0.8883333333333333,0.22333333333333338
alpha_neg_pop,FulltickNoTimelimited,PartialtickNoTimelimited4060,1200,0.02917001818134662,0.030403749032665017,-0.267140800403334,-0.16698291786598995,0.22110732676355715,0.32434615898485986,0.5708333333333333,0.8583333333333334
alpha_neg_pop,FulltickNoTimelimited,PartialtickTimelimited,1200,0.04804389572024204,0.059605316215315396,-0.20913635091543215,-0.11360746066720652,0.19220364836842974,0.24950157341795418,0.69,0.6200000000000001
alpha_neg_pop,FulltickNoTimelimited4060,FulltickTimelimited,1200,-0.6869080925261972,-0.687073021656491,-0.8560384454139914,-0.7975498081214837,-0.5777039976980567,-0.5105212502662612,0,0
alpha_neg_pop,FulltickNoTimelimited4060,PartialcrossNoTimelimited,1200,-0.6399399207569393,-0.6445752194765559,-0.7997436834917839,-0.7451388079544188,-0.5299120448372919,-0.47528822487126887,0,0
alpha_neg_pop,FulltickNoTimelimited4060,PartialcrossTimelimited,1200,-0.5853694172328457,-0.5914465111889949,-0.7844534803864619,-0.7316140109294453,-0.43408941238383353,-0.36023397384358435,0,0
alpha_neg_pop,FulltickNoTimelimited4060,PartialtickNoTimelimited,1200,-0.5702620602776443,-0.5718881163351246,-0.6988745742981667,-0.6519644553062207,-0.48618956712293393,-0.4313326754220852,0,0
alpha_neg_pop,FulltickNoTimelimited4060,PartialtickNoTimelimited4060,1200,-0.6811368506269962,-0.6961251055939551,-0.8779381392857663,-0.8331667044575359,-0.5157452862370189,-0.4036043505434637,0,0
alpha_neg_pop,FulltickNoTimelimited4060,PartialtickTimelimited,1200,-0.6622629730881008,-0.666355184379058,-0.8044054216324221,-0.758877589116869,-0.5679125083829467,-0.49820238616309626,0,0
alpha_neg_pop,FulltickTimelimited,PartialcrossNoTimelimited,1200,0.046968171769257896,0.04650071138005879,-0.16855043769801772,-0.09606092159757537,0.18389053355283744,0.2518210461417723,0.6658333333333334,0.6683333333333332
alpha_neg_pop,FulltickTimelimited,PartialcrossTimelimited,1200,0.10153867529335142,0.0950057341609174,-0.14970544874663327,-0.06922060976179972,0.28303073534301526,0.35922729751040966,0.7716666666666666,0.4566666666666668
alpha_neg_pop,FulltickTimelimited,PartialtickNoTimelimited,1200,0.11664603224855298,0.11689624638857032,-0.07563203169775348,-0.007198456302378519,0.23922831311532597,0.3070216533937062,0.8866666666666667,0.22666666666666657
