trial,top1_accuracy
1,0.5076923076923077
2,0.6307692307692307
3,0.6615384615384615
4,0.6
5,0.6153846153846154
6,0.6615384615384615
7,0.6153846153846154
8,0.6153846153846154
9,0.7384615384615385
10,0.6615384615384615
11,0.5538461538461539
12,0.6153846153846154
13,0.5384615384615384
14,0.7384615384615385
15,0.676923076923077
16,0.7076923076923077
17,0.676923076923077
18,0.6461538461538462
19,0.6307692307692307
20,0.7230769230769231
21,0.6
22,0.6461538461538462
23,0.6461538461538462
24,0.7230769230769231
25,0.676923076923077
26,0.6153846153846154
27,0.7076923076923077
28,0.6153846153846154
29,0.6615384615384615
30,0.7230769230769231
31,0.6461538461538462
32,0.6307692307692307
33,0.7384615384615385
34,0.6615384615384615
35,0.6615384615384615
36,0.676923076923077
37,0.6307692307692307
38,0.6461538461538462
39,0.676923076923077
40,0.6153846153846154
