trial,top1_accuracy
1,0.7384615384615385
2,0.6923076923076923
3,0.6615384615384615
4,0.5692307692307692
5,0.6
6,0.5538461538461539
7,0.6153846153846154
8,0.6153846153846154
9,0.7076923076923077
10,0.7846153846153846
11,0.6615384615384615
12,0.6615384615384615
13,0.6923076923076923
14,0.7384615384615385
15,0.6615384615384615
16,0.7076923076923077
17,0.6461538461538462
18,0.7230769230769231
19,0.7230769230769231
20,0.6923076923076923
21,0.6923076923076923
22,0.6153846153846154
23,0.6923076923076923
24,0.6153846153846154
25,0.7692307692307693
26,0.7076923076923077
27,0.6
28,0.6461538461538462
29,0.6461538461538462
30,0.6
31,0.7076923076923077
32,0.6923076923076923
33,0.7538461538461538
34,0.7692307692307693
35,0.6615384615384615
36,0.6923076923076923
37,0.6923076923076923
38,0.7538461538461538
39,0.7538461538461538
40,0.7076923076923077
