task,parameter,mean,se_mean,sd,2.5%,25%,50%,75%,97.5%,n_eff,Rhat
FulltickNoTimelimited4060,mu_log_beta0,1.6852446429331733,0.012937661889079298,0.32632405952405974,1.0767008046012327,1.4677506832991072,1.6734341870530445,1.905914940976501,2.319214441787559,636.1896446288717,1.0016184989881767
FulltickNoTimelimited4060,mu_beta_slope,1.7440306180854939,0.011559828370499577,0.35941115082101055,1.0916289161026351,1.4988617360057392,1.730517906024564,1.9727888311855142,2.493493839291302,966.6746322970508,0.9992734950892411
FulltickNoTimelimited4060,mu_gamma,0.3758118580748964,0.005492351957010262,0.14430786534677584,0.06831567552861234,0.2785579240735505,0.38155261328123974,0.4705325605950032,0.6433920078033737,690.340393528763,1.000690205678143
FulltickNoTimelimited4060,mu_bias,-0.11320037914703554,0.0025395309521647324,0.07117658808157654,-0.25596907235626515,-0.16074056297757022,-0.11304343486802884,-0.06366650468849494,0.027272643451781157,785.5382028456065,0.999637615809586
FulltickNoTimelimited4060,mu_alpha_pos_logit,-2.601189241897183,0.01486774511699705,0.48837803132607266,-3.5430180864442797,-2.8934347423615456,-2.595249986346813,-2.2907007129952444,-1.6122880189234432,1079.001442542001,1.0002604393072305
FulltickNoTimelimited4060,mu_alpha_neg_logit,-2.627828384949158,0.016823496892027376,0.5536736649819395,-3.702622877605116,-2.9889199501473014,-2.6387412505176133,-2.2841212474321795,-1.5208827238153275,1083.1165447330998,0.9995044874192212
FulltickNoTimelimited4060,sigma_log_beta0,1.0557402946277556,0.012897253269647791,0.1898727246141642,0.6921958225435983,0.9196105380248543,1.0498758616449564,1.1838900236110523,1.4405237573203682,216.73582742038903,1.0043556393686306
FulltickNoTimelimited4060,sigma_beta_slope,0.4940609460707171,0.023613544318514524,0.3103184535451229,0.02124054789948988,0.23834031795636737,0.4842062433077484,0.7224339081670661,1.0967055487648527,172.7002030657534,1.001841642913924
FulltickNoTimelimited4060,sigma_gamma,0.8185220872870557,0.006090481464697387,0.14341486505254308,0.5678168305035172,0.7204893807339261,0.8133932882439467,0.9090210536763711,1.1288839546283103,554.4789782085172,1.0031099285810468
FulltickNoTimelimited4060,sigma_bias,0.11465862914314776,0.004833819512761626,0.0829395933898488,0.004314400506818885,0.05177320603950822,0.09834564524034917,0.15716820549739494,0.31767540635915875,294.4034824019419,1.0117964942439124
FulltickNoTimelimited4060,sigma_alpha_pos,0.3957575100740005,0.01530001889583915,0.32236890459276885,0.010185859893533013,0.14060170902402302,0.3157302267906743,0.5657619750408343,1.1637216503810075,443.9380321995161,0.9989990211252289
FulltickNoTimelimited4060,sigma_alpha_neg,0.404728248682406,0.015054127394875383,0.3297471400731386,0.021394870987726525,0.14164987276926877,0.32494487005099715,0.5896933526928387,1.214140374949203,479.78967888216664,0.9987208462108028
