trial,top1_accuracy
1,0.3384615384615385
2,0.7692307692307693
3,0.6615384615384615
4,0.6307692307692307
5,0.7384615384615385
6,0.7692307692307693
7,0.7384615384615385
8,0.7846153846153846
9,0.8461538461538461
10,0.8461538461538461
11,0.8923076923076924
12,0.9076923076923077
13,0.8769230769230769
14,0.9076923076923077
15,0.9230769230769231
16,0.9692307692307692
17,0.9230769230769231
18,0.9538461538461539
19,0.9538461538461539
20,0.9384615384615385
21,0.9846153846153847
22,0.9538461538461539
23,0.9538461538461539
24,0.9846153846153847
25,0.9384615384615385
26,0.9538461538461539
27,0.9846153846153847
28,0.9538461538461539
29,0.9692307692307692
30,1
31,0.9538461538461539
32,0.9538461538461539
33,0.9538461538461539
34,0.9538461538461539
35,0.9538461538461539
36,0.9692307692307692
37,0.9384615384615385
38,1
39,0.9692307692307692
40,0.9692307692307692
