trial,top1_accuracy
1,0.6461538461538462
2,0.676923076923077
3,0.5846153846153846
4,0.6307692307692307
5,0.5538461538461539
6,0.5230769230769231
7,0.7076923076923077
8,0.6461538461538462
9,0.6307692307692307
10,0.6307692307692307
11,0.6923076923076923
12,0.5538461538461539
13,0.7538461538461538
14,0.6923076923076923
15,0.5846153846153846
16,0.6923076923076923
17,0.6615384615384615
18,0.6307692307692307
19,0.6307692307692307
20,0.6923076923076923
21,0.6923076923076923
22,0.7230769230769231
23,0.6615384615384615
24,0.7384615384615385
25,0.7076923076923077
26,0.7230769230769231
27,0.6461538461538462
28,0.7230769230769231
29,0.6307692307692307
30,0.7384615384615385
31,0.6307692307692307
32,0.7076923076923077
33,0.6923076923076923
34,0.6307692307692307
35,0.6307692307692307
36,0.6615384615384615
37,0.676923076923077
38,0.5846153846153846
39,0.7230769230769231
40,0.6153846153846154
