task,parameter,mean,se_mean,sd,2.5%,25%,50%,75%,97.5%,n_eff,Rhat
PartialcrossNoTimelimited,mu_log_beta0,1.0313670652802631,0.00943189039619684,0.24398396716562143,0.5261084806204215,0.8703101353787963,1.033714351218284,1.2009822071624032,1.4813085801491512,669.1524717484893,0.9994495644178817
PartialcrossNoTimelimited,mu_beta_slope,-0.33997802682129924,0.006608993918504938,0.23423646572930007,-0.8035922728933453,-0.4988629470585673,-0.3414519271555963,-0.18100922260626742,0.12450634346975097,1256.1407617662103,0.9988889480896924
PartialcrossNoTimelimited,mu_gamma,-3.9054236661170645e-4,0.0034323589417921533,0.09549375342889649,-0.18738686162003526,-0.06201927152106228,-3.226736105849536e-4,0.06157075271276521,0.18482231444394895,774.0420084494939,0.9984570809533458
PartialcrossNoTimelimited,mu_bias,6.573594542137238e-4,0.0010806956566414595,0.03897543822191364,-0.07171037422247938,-0.026514094470536882,-2.1403973596445666e-4,0.027506854964352068,0.07769605626496896,1300.694194252752,1.0006068078875372
PartialcrossNoTimelimited,mu_alpha_pos_logit,1.7491221854387609,0.022973857275786325,0.5885149990193905,0.7314655553693938,1.3648686944314106,1.694877179748085,2.0972806194018405,3.009660297523724,656.2166331685671,1.0002755564429282
PartialcrossNoTimelimited,mu_alpha_neg_logit,0.9537824314699568,0.011382033610005931,0.37015544302066317,0.3027449077867021,0.7021373416741339,0.9134712183231646,1.1645840393942715,1.7515405573464509,1057.617315279559,1.0000414442586882
PartialcrossNoTimelimited,sigma_log_beta0,1.2485546396387284,0.007118709228570062,0.19258544551680085,0.8918977938111781,1.1156791092889748,1.2372927052534792,1.3679542377625094,1.6502283602300563,731.8876469341199,1.002414963668666
PartialcrossNoTimelimited,sigma_beta_slope,0.34230767242386345,0.012053535167659796,0.2263035280824026,0.016187317843833985,0.1580779518026747,0.32299260210340297,0.49961788894946824,0.8248332352802984,352.49565712849284,1.003358286875005
PartialcrossNoTimelimited,sigma_gamma,0.5608420704345237,0.003444849603347185,0.08727342358650352,0.4041632361008043,0.4995604810541972,0.5539140409697596,0.615401649769278,0.7436139038772199,641.8351444919373,0.9988750252715459
PartialcrossNoTimelimited,sigma_bias,0.15354324159535165,0.0031072121232918228,0.04995750824761834,0.04621698353741978,0.12264464775978715,0.15422867645772423,0.18601903639895695,0.2520116239174331,258.49951469625347,1.0008997047507604
PartialcrossNoTimelimited,sigma_alpha_pos,0.5375679569617804,0.02985018016713567,0.46197976483499126,0.015608255901415404,0.1908086067695455,0.41741217014277326,0.7363737916527743,1.7721337085704643,239.5256312571216,1.0014283816801
PartialcrossNoTimelimited,sigma_alpha_neg,0.60597816298322,0.018451970515585205,0.36999212152171057,0.03351393168277418,0.3221219605880504,0.5855991480467198,0.8331364920750403,1.4368022902964206,402.0679438385793,1.0036106069767132
