parameter,p_gt0,p_lt0,diff_mean,diff_hdi95_lo,diff_hdi95_hi,posterior_tail_p,hdi95_crosses_zero,hdi95_direction,label
alpha_neg,0.5991666666666666,0.4008333333333333,0.018715204643181518,-0.13007788320020464,0.15724642482100326,0.8016666666666666,TRUE,Crosses 0,"95% HDI=[-0.130, 0.157]
Cross 0? Yes (Crosses 0)
P(Δ>0)=0.599
posterior_tail_p=0.8017
Δ mean=0.019"
alpha_pos,0.24833333333333332,0.7516666666666667,-0.07156169243057843,-0.26622696944840507,0.12038191494427719,0.49666666666666665,TRUE,Crosses 0,"95% HDI=[-0.266, 0.120]
Cross 0? Yes (Crosses 0)
P(Δ>0)=0.248
posterior_tail_p=0.4967
Δ mean=-0.072"
beta_slope,0.8683333333333333,0.13166666666666665,0.25081673563912016,-0.20031869844640185,0.6882744855124966,0.2633333333333333,TRUE,Crosses 0,"95% HDI=[-0.200, 0.688]
Cross 0? Yes (Crosses 0)
P(Δ>0)=0.868
posterior_tail_p=0.2633
Δ mean=0.251"
bias,0.9516666666666667,0.04833333333333333,0.06908726975081775,-0.010338483642797049,0.1493209141729362,0.09666666666666666,TRUE,Crosses 0,"95% HDI=[-0.010, 0.149]
Cross 0? Yes (Crosses 0)
P(Δ>0)=0.952
posterior_tail_p=0.0967
Δ mean=0.069"
gamma,0.9733333333333334,0.02666666666666667,0.18405910438513876,-0.002548591844063196,0.37022521555427096,0.05333333333333334,TRUE,Crosses 0,"95% HDI=[-0.003, 0.370]
Cross 0? Yes (Crosses 0)
P(Δ>0)=0.973
posterior_tail_p=0.0533
Δ mean=0.184"
log_beta0,0.2625,0.7375,-0.15614018781331784,-0.6642304611301956,0.3395635764125363,0.525,TRUE,Crosses 0,"95% HDI=[-0.664, 0.340]
Cross 0? Yes (Crosses 0)
P(Δ>0)=0.263
posterior_tail_p=0.5250
Δ mean=-0.156"
