parameter,p_gt0,p_lt0,diff_mean,diff_hdi95_lo,diff_hdi95_hi,posterior_tail_p,hdi95_crosses_zero,hdi95_direction,label
alpha_neg,0.5183333333333333,0.4816666666666667,0.003607847687979959,-0.14652105290319453,0.1571958314220024,0.9633333333333334,TRUE,Crosses 0,"95% HDI=[-0.147, 0.157]
Cross 0? Yes (Crosses 0)
P(Δ>0)=0.518
posterior_tail_p=0.9633
Δ mean=0.004"
alpha_pos,0.5108333333333334,0.4891666666666667,0.0012061741493729376,-0.19901777104313145,0.2092865581050006,0.9783333333333334,TRUE,Crosses 0,"95% HDI=[-0.199, 0.209]
Cross 0? Yes (Crosses 0)
P(Δ>0)=0.511
posterior_tail_p=0.9783
Δ mean=0.001"
beta_slope,0.6683333333333333,0.33166666666666667,0.1017475779373845,-0.3268606426571028,0.5383692963263785,0.6633333333333333,TRUE,Crosses 0,"95% HDI=[-0.327, 0.538]
Cross 0? Yes (Crosses 0)
P(Δ>0)=0.668
posterior_tail_p=0.6633
Δ mean=0.102"
bias,0.23416666666666666,0.7658333333333334,-0.032020045718117084,-0.11511294073924618,0.04878078476935004,0.4683333333333333,TRUE,Crosses 0,"95% HDI=[-0.115, 0.049]
Cross 0? Yes (Crosses 0)
P(Δ>0)=0.234
posterior_tail_p=0.4683
Δ mean=-0.032"
gamma,0.008333333333333333,0.9916666666666667,-0.2275529542902866,-0.4146699979884307,-0.0362718439482764,0.016666666666666666,FALSE,Below 0,"95% HDI=[-0.415, -0.036]
Cross 0? No (Below 0)
P(Δ>0)=0.008
posterior_tail_p=0.0167
Δ mean=-0.228"
log_beta0,0.9991666666666666,8.333333333333334e-4,0.6953429465166314,0.264792736624484,1.2053113145745782,0.0016666666666666668,FALSE,Above 0,"95% HDI=[0.265, 1.205]
Cross 0? No (Above 0)
P(Δ>0)=0.999
posterior_tail_p=0.0017
Δ mean=0.695"
