task,feedback,time_pressure,frame,model_id,model_label,iter,warmup,chains,adapt_delta,max_treedepth,elapsed_sec,note,top1_accuracy,draws,n_obs,n_participants,n_trials,elpd_loo,se_elpd_loo,looic,p_loo,elpd_waic,se_elpd_waic,waic,p_waic,pareto_k_gt_0_7,pareto_k_gt_1,n_divergent,n_max_treedepth,max_rhat,min_n_eff
FullcrossNoTimelimited,Full,No TP,Reject,alias_nonident_qlearning,Alias non-identifiable hierarchical Q-learning,2000,1000,4,0.97,12,3.9203100204467773,reused_existing_fit,0.6526923076923077,4000,2600,65,40,-1663.6943762640374,15.783340199793642,3327.3887525280747,78.66247804623255,-1663.2729244351492,15.761994137339759,3326.5458488702984,78.24102621733878,65,65,0,0,1.0326736694670422,2.009325213906384
FullcrossTimelimited,Full,TP,Reject,alias_nonident_qlearning,Alias non-identifiable hierarchical Q-learning,2000,1000,4,0.97,12,2.4034368991851807,reused_existing_fit,0.6469230769230769,4000,2600,65,40,-1661.7352728603757,15.315056936717275,3323.4705457207515,78.86861384733692,-1661.2985510530266,15.298761856990133,3322.597102106053,78.43189203998777,65,65,0,0,1.0286217904454027,2.0077980417657115
FulltickNoTimelimited,Full,No TP,Accept,alias_nonident_qlearning,Alias non-identifiable hierarchical Q-learning,2000,1000,4,0.97,12,2.3515188694000244,reused_existing_fit,0.661923076923077,4000,2600,65,40,-1659.5648420747714,15.706449686132565,3319.1296841495428,81.28053125622286,-1659.1186755403983,15.69160947240615,3318.2373510807965,80.83436472185136,65,65,0,0,1.0133482182706228,2.010295122920992
FulltickTimelimited,Full,TP,Accept,alias_nonident_qlearning,Alias non-identifiable hierarchical Q-learning,2000,1000,4,0.97,12,2.3599319458007813,reused_existing_fit,0.6776923076923077,4000,2600,65,40,-1614.3727302137781,17.68516646671134,3228.7454604275563,86.37186304898789,-1613.7972286157465,17.658131791491183,3227.594457231493,85.7963614509559,65,65,0,0,1.0330048031290742,2.0098864837781707
PartialcrossNoTimelimited,Partial,No TP,Reject,alias_nonident_qlearning,Alias non-identifiable hierarchical Q-learning,2000,1000,4,0.97,12,2.0666160583496094,reused_existing_fit,0.7017857142857142,4000,2240,56,40,-1300.452490951019,19.22241552605338,2600.904981902038,73.97655850124296,-1299.6589737785623,19.162383042076563,2599.3179475571246,73.18304132878737,57,56,0,0,1.0461872597835151,2.009746253861027
PartialcrossTimelimited,Partial,TP,Reject,alias_nonident_qlearning,Alias non-identifiable hierarchical Q-learning,2000,1000,4,0.97,12,2.031277894973755,reused_existing_fit,0.7102678571428571,4000,2240,56,40,-1354.1179618567417,18.7203606475397,2708.2359237134833,79.14970524692804,-1353.3929405955719,18.677526175089216,2706.7858811911437,78.42468398575724,57,56,0,0,1.0247138539271483,2.014548584747784
PartialtickNoTimelimited,Partial,No TP,Accept,alias_nonident_qlearning,Alias non-identifiable hierarchical Q-learning,2000,1000,4,0.97,12,2.037584066390991,reused_existing_fit,0.715625,4000,2240,56,40,-1258.1631368248575,20.924168619970278,2516.326273649715,77.526695349611785,-1257.3858806922751,20.875482497885596,2514.7717613845502,76.74943921702977,56,56,0,0,1.0237072734033184,2.0154299303199257
PartialtickTimelimited,Partial,TP,Accept,alias_nonident_qlearning,Alias non-identifiable hierarchical Q-learning,2000,1000,4,0.97,12,2.035768985748291,reused_existing_fit,0.7392857142857143,4000,2240,56,40,-1218.633695197092,22.382060411125902,2437.267390394184,76.67309187792245,-1217.7854464758107,22.32437931174735,2435.5708929516213,75.82484315663925,56,56,0,0,1.0269368892671342,2.0164213389750625
