model,AIC,BIC,logLik,nobs,delta_AIC,delta_BIC
V + RU + VTU,25974.631322798963,26021.855869166444,-12981.315661399482,19356,0,0
V + RU,26023.387407431703,26054.870438343354,-13007.693703715851,19356,48.75608463273966,33.0145691769103
VTU only,26201.439643102407,26217.181158558233,-13098.719821551203,19356,226.8083203034439,195.32528939178883
V only,26395.434836125656,26411.176351581482,-13195.717418062828,19356,420.80351332669306,389.320482415038
