model,term,estimate,std_error,statistic,p_value,conf_low,conf_high
RT linear mixed model,(Intercept),6.332727226370641,0.037894755417932295,167.11355322203534,3.0672970747747902e-152,6.258453505751493,6.407000946989788
RT linear mixed model,V_z,0.09095628968985407,0.01981813570544196,4.589548232070988,7.495974001986077e-6,0.05211274370718783,0.12979983567252032
RT linear mixed model,RU_z,0.10039208704837439,0.01783594609633948,5.628638172940999,4.78012117055422e-8,0.06543363269954902,0.13535054139719976
RT linear mixed model,TU_z,0.15633236803462203,0.011758173094608637,13.295634175202236,1.4621427616551344e-29,0.1332863487691891,0.17937838730005495
RT linear mixed model,feedback_typefull,0.2710206359970137,0.06735034367442394,4.024042361344814,6.943747236321738e-5,0.13901396239514277,0.40302730959888466
RT linear mixed model,pressuretp,-0.9360675788977624,0.008924418064268731,-104.88836046862895,0,-0.9535594383037291,-0.9185757194917956
RT linear mixed model,framereject,-0.005361296253188288,0.008948037140361713,-0.5991589182174052,0.5490746134391874,-0.022899449048297243,0.012176856541920668
RT linear mixed model,V_z:feedback_typefull,0.21836541868804227,0.02700086444046293,8.087349172451102,2.8476668990103566e-14,0.16544372438473492,0.2712871129913496
RT linear mixed model,V_z:pressuretp,-0.06463839029086892,0.018287452696485237,-3.534575939233577,4.099682512872766e-4,-0.10048179757597997,-0.028794983005757856
RT linear mixed model,V_z:framereject,0.023179754057005675,0.018412536453312457,1.2589115093285035,0.20809015056785404,-0.012908817391486742,0.05926832550549809
RT linear mixed model,RU_z:feedback_typefull,-1.7575594710144014,0.5433650559255019,-3.2345831809533436,0.001220297928566456,-2.822554980628385,-0.6925639614004178
RT linear mixed model,RU_z:pressuretp,-0.06426388386396409,0.018629235103561192,-3.449625468072992,5.636921397503964e-4,-0.10077718466694402,-0.02775058306098415
RT linear mixed model,RU_z:framereject,0.014898291459996642,0.018697647762854003,0.7968003060574594,0.42558588002457975,-0.0217490981551972,0.05154568107519049
RT linear mixed model,TU_z:feedback_typefull,0.03645677268374945,0.013931580483234984,2.6168439917941027,0.010019438879952922,0.009150874936608884,0.06376267043089001
RT linear mixed model,TU_z:pressuretp,-0.02836017822277861,0.009606489616898774,-2.9521895462094943,0.0031599621336099617,-0.04718889787190021,-0.009531458573657014
RT linear mixed model,TU_z:framereject,0.048431905897653456,0.009532118060780843,5.080917545170024,3.8009519063118284e-7,0.029748954498523005,0.0671148572967839
