model_id,model_label,effect,contrast,parameter,mean_a,mean_b,diff_mean,diff_hdi95_lo,diff_hdi95_hi,hdi95_crosses_zero,hdi95_direction,posterior_tail_p
modelB_decay,Model B: Decay-RL + Stickiness,Choice Frame,Accept - Reject,beta,6.124858165950985,4.657895624753799,1.466962541197186,-0.7445117130066584,3.4878466790411373,TRUE,Crosses 0,0.165
modelB_decay,Model B: Decay-RL + Stickiness,Choice Frame,Accept - Reject,gamma,0.022800332045350164,0.1372974997844086,-0.11449716773905845,-0.1918594185742984,-0.03624105454884665,FALSE,Below 0,0.006
modelB_decay,Model B: Decay-RL + Stickiness,Choice Frame,Accept - Reject,eta_decay,0.14635915290054521,0.1850105844647223,-0.03865143156417706,-0.1923733239804458,0.1036105557425287,TRUE,Crosses 0,0.6225
modelC_hybrid,Model C: Hybrid RL + BMT features,Feedback,Full - Partial,alpha,0.7563233059149096,0.6370502390845051,0.11927306683040449,-0.009806727990824573,0.238888424950997,TRUE,Crosses 0,0.07
modelC_hybrid,Model C: Hybrid RL + BMT features,Feedback,Full - Partial,beta_Q,2.242357267756252,5.349933343705256,-3.1075760759490048,-4.182532828563571,-2.142347482548386,FALSE,Below 0,0
modelC_hybrid,Model C: Hybrid RL + BMT features,Feedback,Full - Partial,beta_mu,-0.09603848272290226,0.18093940621657728,-0.27697788893947956,-1.142767849969288,0.5715489738839117,TRUE,Crosses 0,0.5315
modelC_hybrid,Model C: Hybrid RL + BMT features,Feedback,Full - Partial,beta_sigma,0.04016303608796987,0.7927108493564833,-0.7525478132685134,-1.8411667198929202,0.33053937595839133,TRUE,Crosses 0,0.1725
modelC_hybrid,Model C: Hybrid RL + BMT features,Feedback,Full - Partial,gamma,0.018432190895574532,0.10573641085961004,-0.0873042199640355,-0.16374390225462068,-0.010980108585644072,FALSE,Below 0,0.0275
modelC_hybrid,Model C: Hybrid RL + BMT features,Time Pressure,TP - No TP,alpha,0.6697250762377641,0.7236484687616506,-0.053923392523886476,-0.17964433257175189,0.07075286590111131,TRUE,Crosses 0,0.42
modelC_hybrid,Model C: Hybrid RL + BMT features,Time Pressure,TP - No TP,beta_Q,3.81795239784952,3.7743382136119887,0.043614184237531134,-1.030078211611313,1.0594233044162125,TRUE,Crosses 0,0.9165
modelC_hybrid,Model C: Hybrid RL + BMT features,Time Pressure,TP - No TP,beta_mu,-0.05462333964083418,0.1395242631345092,-0.19414760277534338,-1.058219554277622,0.6463656005446629,TRUE,Crosses 0,0.6355
modelC_hybrid,Model C: Hybrid RL + BMT features,Time Pressure,TP - No TP,beta_sigma,0.4769134971128751,0.355960388331578,0.12095310878129713,-0.9463174334736076,1.201216650901982,TRUE,Crosses 0,0.8245
modelC_hybrid,Model C: Hybrid RL + BMT features,Time Pressure,TP - No TP,gamma,0.14118524131104832,-0.017016639555863747,0.15820188086691206,0.08124275018220704,0.23560006939562056,FALSE,Above 0,0
modelC_hybrid,Model C: Hybrid RL + BMT features,Choice Frame,Accept - Reject,alpha,0.7019762418800676,0.6913973031193471,0.010578938760720368,-0.11987036708391774,0.13580660636203873,TRUE,Crosses 0,0.8605
modelC_hybrid,Model C: Hybrid RL + BMT features,Choice Frame,Accept - Reject,beta_Q,4.229735013113105,3.3625555983484037,0.8671794147647015,-0.19408092170632543,1.8856022229640907,TRUE,Crosses 0,0.0955
modelC_hybrid,Model C: Hybrid RL + BMT features,Choice Frame,Accept - Reject,beta_mu,-0.004276307304253315,0.08917723079792833,-0.09345353810218164,-0.9308982215478008,0.7473021718403159,TRUE,Crosses 0,0.825
modelC_hybrid,Model C: Hybrid RL + BMT features,Choice Frame,Accept - Reject,beta_sigma,0.362935287122488,0.4699385983219651,-0.10700331119947706,-1.187032212380406,0.9678293996759617,TRUE,Crosses 0,0.8495
modelC_hybrid,Model C: Hybrid RL + BMT features,Choice Frame,Accept - Reject,gamma,0.0013930970659764143,0.12277550468920816,-0.12138240762323174,-0.19866384879372243,-0.045293324920194604,FALSE,Below 0,0.0015
