model_id,model_label,task,feedback,time_pressure,frame,parameter,mean,median,q025,q975
modelA_asym_lapse,Model A: Asymmetric-LR + Stickiness + Lapse,PartialcrossTimelimited,Partial,TP,Reject,beta,8.922337621346331,7.055724392060446,3.506366503531591,25.952452726723465
modelA_asym_lapse,Model A: Asymmetric-LR + Stickiness + Lapse,PartialcrossTimelimited,Partial,TP,Reject,epsilon_lapse,0.21146025889460562,0.21293342438923551,0.06302353116364756,0.34891158014758183
modelA_asym_lapse,Model A: Asymmetric-LR + Stickiness + Lapse,PartialcrossTimelimited,Partial,TP,Reject,gamma,0.44280964329081474,0.43058067357374896,0.23580861495260935,0.7200065813270534
modelA_asym_lapse,Model A: Asymmetric-LR + Stickiness + Lapse,PartialtickNoTimelimited,Partial,No TP,Accept,alpha_neg,0.6209575194146,0.6196093702754752,0.5284066148337012,0.7219931342153615
modelA_asym_lapse,Model A: Asymmetric-LR + Stickiness + Lapse,PartialtickNoTimelimited,Partial,No TP,Accept,alpha_pos,0.5929250782393719,0.5922608869186938,0.4903620270766311,0.6981668682250953
modelA_asym_lapse,Model A: Asymmetric-LR + Stickiness + Lapse,PartialtickNoTimelimited,Partial,No TP,Accept,beta,7.905242548086941,7.639858495235473,6.116918654344098,11.349916629362125
modelA_asym_lapse,Model A: Asymmetric-LR + Stickiness + Lapse,PartialtickNoTimelimited,Partial,No TP,Accept,epsilon_lapse,0.06484396286165231,0.051959239635192105,0.01256473681059517,0.23146474884927365
modelA_asym_lapse,Model A: Asymmetric-LR + Stickiness + Lapse,PartialtickNoTimelimited,Partial,No TP,Accept,gamma,-0.14378679531552135,-0.13944615834266363,-0.31672727272634993,0.009352317884718062
modelA_asym_lapse,Model A: Asymmetric-LR + Stickiness + Lapse,PartialtickTimelimited,Partial,TP,Accept,alpha_neg,0.6838618256911775,0.6831499645604224,0.5776523003444664,0.7945783397699797
modelA_asym_lapse,Model A: Asymmetric-LR + Stickiness + Lapse,PartialtickTimelimited,Partial,TP,Accept,alpha_pos,0.7089750920226094,0.7075166074737231,0.5841671380672048,0.8408196502421684
modelA_asym_lapse,Model A: Asymmetric-LR + Stickiness + Lapse,PartialtickTimelimited,Partial,TP,Accept,beta,8.232794368087104,7.851874816559274,6.056768047857371,12.675775301983373
modelA_asym_lapse,Model A: Asymmetric-LR + Stickiness + Lapse,PartialtickTimelimited,Partial,TP,Accept,epsilon_lapse,0.07610592892505388,0.06823198454669363,0.015645256065855782,0.17836435343390422
modelA_asym_lapse,Model A: Asymmetric-LR + Stickiness + Lapse,PartialtickTimelimited,Partial,TP,Accept,gamma,-0.0402886160177847,-0.0385426079562841,-0.20279605157986558,0.1182971779660279
modelB_decay,Model B: Decay-RL + Stickiness,FullcrossNoTimelimited,Full,No TP,Reject,alpha,0.8027133903332029,0.8129939085711398,0.6080124040895868,0.9305742434899726
modelB_decay,Model B: Decay-RL + Stickiness,FullcrossNoTimelimited,Full,No TP,Reject,beta,2.815711678248036,2.5414686922401377,1.8485508012772778,5.550530603234804
modelB_decay,Model B: Decay-RL + Stickiness,FullcrossNoTimelimited,Full,No TP,Reject,eta_decay,0.1987917495750635,0.163295683846579,0.02485846414014283,0.551532490505145
modelB_decay,Model B: Decay-RL + Stickiness,FullcrossNoTimelimited,Full,No TP,Reject,gamma,-0.049411502000778186,-0.0499117569585036,-0.13926389397052527,0.03937280280658944
modelB_decay,Model B: Decay-RL + Stickiness,FullcrossTimelimited,Full,TP,Reject,alpha,0.6848319569898893,0.696634508580894,0.40033023467831563,0.8913538410170169
modelB_decay,Model B: Decay-RL + Stickiness,FullcrossTimelimited,Full,TP,Reject,beta,2.615877806311509,2.294411548338495,1.492463236031008,5.531214283311208
modelB_decay,Model B: Decay-RL + Stickiness,FullcrossTimelimited,Full,TP,Reject,eta_decay,0.19567000059881082,0.16266953730936054,0.02600110400514532,0.5397489964563696
modelB_decay,Model B: Decay-RL + Stickiness,FullcrossTimelimited,Full,TP,Reject,gamma,0.08313061988147527,0.08417823872817093,-0.0032354589810086013,0.17000856844784434
modelB_decay,Model B: Decay-RL + Stickiness,FulltickNoTimelimited,Full,No TP,Accept,alpha,0.6805280786909205,0.6927693751575297,0.4106263070412159,0.8971434392964537
modelB_decay,Model B: Decay-RL + Stickiness,FulltickNoTimelimited,Full,No TP,Accept,beta,3.1054620019752748,2.814860733827236,1.8632444590093047,6.082429102449443
