model_id,model_label,parameter,task_a,task_b,diff_mean,diff_hdi95_lo,diff_hdi95_hi,hdi95_crosses_zero,hdi95_direction,posterior_tail_p
modelA_asym_lapse,Model A: Asymmetric-LR + Stickiness + Lapse,alpha_neg,FullcrossNoTimelimited,FullcrossTimelimited,0.13677173674804372,-0.09632185334330645,0.36194188706650293,TRUE,Crosses 0,0.254
modelA_asym_lapse,Model A: Asymmetric-LR + Stickiness + Lapse,alpha_neg,FullcrossNoTimelimited,FulltickNoTimelimited,0.06420907207168541,-0.1667492680555167,0.2997280960961117,TRUE,Crosses 0,0.62
modelA_asym_lapse,Model A: Asymmetric-LR + Stickiness + Lapse,alpha_neg,FullcrossNoTimelimited,FulltickTimelimited,0.08652057596352894,-0.12450123656676886,0.27876153953247323,TRUE,Crosses 0,0.3875
modelA_asym_lapse,Model A: Asymmetric-LR + Stickiness + Lapse,alpha_neg,FullcrossNoTimelimited,PartialcrossNoTimelimited,0.12622334868173454,-0.07277670237501332,0.30495410033830184,TRUE,Crosses 0,0.2135
modelA_asym_lapse,Model A: Asymmetric-LR + Stickiness + Lapse,alpha_neg,FullcrossNoTimelimited,PartialcrossTimelimited,0.21907808743910592,-0.010307553434864163,0.4238773901871972,TRUE,Crosses 0,0.0605
modelA_asym_lapse,Model A: Asymmetric-LR + Stickiness + Lapse,alpha_neg,FullcrossNoTimelimited,PartialtickNoTimelimited,0.18163041092646146,-0.006833528588672209,0.353266958003713,TRUE,Crosses 0,0.0585
modelA_asym_lapse,Model A: Asymmetric-LR + Stickiness + Lapse,alpha_neg,FullcrossNoTimelimited,PartialtickTimelimited,0.11872610464988391,-0.08007296234174864,0.2917581396540642,TRUE,Crosses 0,0.2185
modelA_asym_lapse,Model A: Asymmetric-LR + Stickiness + Lapse,alpha_neg,FullcrossTimelimited,FulltickNoTimelimited,-0.0725626646763583,-0.32573718401362045,0.18671868883758108,TRUE,Crosses 0,0.5845
modelA_asym_lapse,Model A: Asymmetric-LR + Stickiness + Lapse,alpha_neg,FullcrossTimelimited,FulltickTimelimited,-0.050251160784514776,-0.2693655642082336,0.16479389271908373,TRUE,Crosses 0,0.6605
modelA_asym_lapse,Model A: Asymmetric-LR + Stickiness + Lapse,alpha_neg,FullcrossTimelimited,PartialcrossNoTimelimited,-0.01054838806630917,-0.22625260754001902,0.20327558737675508,TRUE,Crosses 0,0.936
modelA_asym_lapse,Model A: Asymmetric-LR + Stickiness + Lapse,alpha_neg,FullcrossTimelimited,PartialcrossTimelimited,0.08230635069106221,-0.16427149779953704,0.3102445410781032,TRUE,Crosses 0,0.4915
modelA_asym_lapse,Model A: Asymmetric-LR + Stickiness + Lapse,alpha_neg,FullcrossTimelimited,PartialtickNoTimelimited,0.04485867417841775,-0.15805469769180927,0.24141872285683097,TRUE,Crosses 0,0.6475
modelA_asym_lapse,Model A: Asymmetric-LR + Stickiness + Lapse,alpha_neg,FullcrossTimelimited,PartialtickTimelimited,-0.01804563209815981,-0.22371799574295412,0.18919681825669488,TRUE,Crosses 0,0.875
