task,trial,acc_ppc_mean,acc_ppc_median,acc_ppc_lo10,acc_ppc_hi90
FulltickNoTimelimited,1,0.4992948717948718,0.49230769230769234,0.4153846153846154,0.5846153846153846
FulltickNoTimelimited,2,0.5467051282051282,0.5538461538461539,0.46153846153846156,0.6307692307692307
FulltickNoTimelimited,3,0.5369102564102565,0.5384615384615384,0.46153846153846156,0.6153846153846154
FulltickNoTimelimited,4,0.5241538461538462,0.5230769230769231,0.4461538461538462,0.6
FulltickNoTimelimited,5,0.5314358974358975,0.5307692307692308,0.4461538461538462,0.6153846153846154
FulltickNoTimelimited,6,0.5525769230769231,0.5538461538461539,0.47692307692307695,0.6307692307692307
FulltickNoTimelimited,7,0.5599871794871795,0.5538461538461539,0.49230769230769234,0.6307692307692307
FulltickNoTimelimited,8,0.5221282051282051,0.5230769230769231,0.4461538461538462,0.6
FulltickNoTimelimited,9,0.549525641025641,0.5538461538461539,0.46153846153846156,0.6307692307692307
FulltickNoTimelimited,10,0.5542435897435898,0.5538461538461539,0.47692307692307695,0.6307692307692307
FulltickNoTimelimited,11,0.5417435897435897,0.5384615384615384,0.46153846153846156,0.6153846153846154
FulltickNoTimelimited,12,0.5310641025641025,0.5384615384615384,0.46153846153846156,0.6
FulltickNoTimelimited,13,0.5215384615384615,0.5230769230769231,0.4461538461538462,0.6
FulltickNoTimelimited,14,0.5492435897435898,0.5538461538461539,0.47692307692307695,0.6153846153846154
FulltickNoTimelimited,15,0.5316794871794872,0.5384615384615384,0.4461538461538462,0.6153846153846154
FulltickNoTimelimited,16,0.5365769230769231,0.5384615384615384,0.46153846153846156,0.6153846153846154
FulltickNoTimelimited,17,0.5371025641025641,0.5384615384615384,0.46153846153846156,0.6153846153846154
FulltickNoTimelimited,18,0.5358205128205128,0.5384615384615384,0.46153846153846156,0.6153846153846154
FulltickNoTimelimited,19,0.5300769230769231,0.5230769230769231,0.4461538461538462,0.6153846153846154
FulltickNoTimelimited,20,0.5366794871794872,0.5384615384615384,0.46153846153846156,0.6153846153846154
FulltickNoTimelimited,21,0.548,0.5538461538461539,0.47692307692307695,0.6307692307692307
FulltickNoTimelimited,22,0.5107948717948718,0.5076923076923077,0.4307692307692308,0.5846153846153846
FulltickNoTimelimited,23,0.5575897435897436,0.5538461538461539,0.47692307692307695,0.6307692307692307
FulltickNoTimelimited,24,0.5351410256410256,0.5384615384615384,0.46153846153846156,0.6153846153846154
FulltickNoTimelimited,25,0.5283333333333333,0.5230769230769231,0.4461538461538462,0.6153846153846154
FulltickNoTimelimited,26,0.5383333333333333,0.5384615384615384,0.46153846153846156,0.6153846153846154
FulltickNoTimelimited,27,0.5141153846153846,0.5076923076923077,0.4461538461538462,0.5846153846153846
FulltickNoTimelimited,28,0.5418076923076923,0.5384615384615384,0.46153846153846156,0.6153846153846154
FulltickNoTimelimited,29,0.5181666666666667,0.5230769230769231,0.4461538461538462,0.6
FulltickNoTimelimited,30,0.5454615384615384,0.5384615384615384,0.46153846153846156,0.6153846153846154
FulltickNoTimelimited,31,0.5095512820512821,0.5076923076923077,0.4307692307692308,0.5846153846153846
FulltickNoTimelimited,32,0.5303076923076924,0.5384615384615384,0.4461538461538462,0.6015384615384636
FulltickNoTimelimited,33,0.5012564102564103,0.5076923076923077,0.42923076923076936,0.5846153846153846
FulltickNoTimelimited,34,0.5231666666666667,0.5230769230769231,0.4461538461538462,0.6
FulltickNoTimelimited,35,0.5089230769230769,0.5076923076923077,0.4307692307692308,0.5846153846153846
FulltickNoTimelimited,36,0.526576923076923,0.5230769230769231,0.4461538461538462,0.6
FulltickNoTimelimited,37,0.5292820512820513,0.5230769230769231,0.4461538461538462,0.6153846153846154
FulltickNoTimelimited,38,0.536974358974359,0.5384615384615384,0.46153846153846156,0.6153846153846154
FulltickNoTimelimited,39,0.5242948717948718,0.5230769230769231,0.4461538461538462,0.6
FulltickNoTimelimited,40,0.5340128205128205,0.5384615384615384,0.46153846153846156,0.6153846153846154
