task,new_dynamic_ppc,new_dynamic_prob,old_static_ppc,ppc_gain_vs_static
FullcrossTimelimited,0.5388144230769231,0.6134615384615385,0.5387942307692307,2.0192307692346034e-5
FulltickNoTimelimited,0.5322644230769231,0.6173076923076923,0.5326684615384616,-4.0403846153846956e-4
PartialcrossNoTimelimited,0.5778619791666667,0.6629464285714286,0.5775553571428571,3.066220238095996e-4
PartialtickNoTimelimited,0.5798258928571428,0.6691964285714286,0.5798897321428571,-6.3839285714295535e-05
