model_id,model_label,n_tasks,total_obs,top1_weighted,top1_unweighted,sum_elpd_loo,sum_elpd_waic,total_divergent,max_rhat_overall,rank_overall
modelB_decay,Model B: Decay-RL + Stickiness,8,19360,0.6860537190082645,0.6882168612637363,-11694.271349192348,-11688.213107484618,0,1.018149459043582,1
modelA_asym_lapse,Model A: Asymmetric-LR + Stickiness + Lapse,8,19360,0.6910123966942149,0.6933653846153847,-11707.322735441041,-11703.829600225403,0,1.0470127349805027,2
modelC_hybrid,Model C: Hybrid RL + BMT features,8,19360,0.6897210743801653,0.692217548076923,-11713.445147488235,-11706.59977848276,0,1.0205820075768746,3
delta3_benchmark,Benchmark: Delta3,8,19360,0.6859504132231405,0.6880434409340659,-11735.17905144832,-11730.260097688295,0,1.0488829323959403,4
old_original_benchmark,Benchmark: Old original,8,19360,0.6418904958677686,0.6439431662087912,-12366.451693872743,-12365.291378682121,0,1.0060961672241773,5
random_baseline,Baseline: Random p=0.5,8,19360,0.5,0.5,-13419.329415640539,-13419.329415640539,0,NA,6
