"model","AIC","BIC","logLik","npar","singular"
"M4_base_plus_both",12200.3016444899,12402.8600154169,-6065.15082224495,35,FALSE
"M3_base_plus_RTChoice",12200.7495741771,12397.5205630776,-6066.37478708855,34,FALSE
"M1_base",12277.3877131834,12468.3713200574,-6105.69385659169,33,FALSE
"M2_base_plus_TimedOut",12277.4070520741,12474.1780409746,-6104.70352603704,34,FALSE
