stage,n_divergent,n_max_treedepth,max_rhat,min_n_eff,draws,n_obs,n_cells,n_trials,elpd_loo,se_elpd_loo,looic,p_loo,elpd_waic,se_elpd_waic,waic,p_waic,pareto_k_gt_0_7,pareto_k_gt_1,scope,n_tasks,total_obs,top1_weighted,top1_unweighted
pilot,0,0,1.0185824724454624,258.19403799294264,2000,19360,484,40,-11949.62096244761,49.66996152255465,23899.24192489522,316.71615594841927,-11948.500580556642,49.659144401662566,23897.001161113283,315.59577405745665,0,0,weighted_by_trials,8,19360,0.6641012396694215,0.6663856456043956
full,0,0,1.00431687503447,651.4061381380413,4000,19360,484,40,-11948.505835653861,49.63230003171251,23897.011671307722,314.97620390342786,-11947.73471547702,49.62345437395557,23895.46943095404,314.2050837265402,0,0,weighted_by_trials,8,19360,0.6643595041322314,0.6665951236263736
