effect,contrast,parameter,mean_a,mean_b,diff_mean,diff_hdi95_lo,diff_hdi95_hi,hdi95_crosses_zero,hdi95_direction,p_gt0,posterior_tail_p
Feedback,Full - Partial,beta_value,2.0233094542477916,4.612971040781127,-2.5896615865333352,-3.309363815031835,-1.9380877723256789,FALSE,Below 0,0,0
Feedback,Full - Partial,cf_contrib,0.7839638567326551,0,0.7839638567326551,0.6664983137167253,0.8920069197753693,FALSE,Above 0,1,0
Time Pressure,TP - No TP,beta_value,3.0847185743643855,3.3589424638149463,-0.2742238894505609,-0.6751026728042226,0.11814853597289558,TRUE,Crosses 0,0.08625,0.1725
Time Pressure,TP - No TP,gamma,0.14830686048321884,-0.005190437117708629,0.15349729760092748,0.08858009267776973,0.21996821614731632,FALSE,Above 0,1,0
Choice Frame,Accept - Reject,rho_risky,-0.012201380348510071,-0.0038866450179906907,-0.00831473533051938,-0.04264333797557803,0.025673835824995373,TRUE,Crosses 0,0.30975,0.6195
Choice Frame,Accept - Reject,gamma,0.008298916492336232,0.13481750687317398,-0.12651859038083774,-0.19513471596884974,-0.058615011215771715,FALSE,Below 0,5e-4,0.001
