changed_factor,contrast_label,fixed_context,task_plus,task_minus,parameter,diff_mean,diff_hdi95_lo,diff_hdi95_hi,hdi95_crosses_zero,posterior_tail_p
Choice Frame,Accept - Reject,"Feedback=Full, TP=No TP",FulltickNoTimelimited,FullcrossNoTimelimited,beta_value,-0.4350517279107421,-0.9979238274915291,0.12402229751263993,TRUE,0.117
Choice Frame,Accept - Reject,"Feedback=Full, TP=No TP",FulltickNoTimelimited,FullcrossNoTimelimited,gamma,-0.0170697160357738,-0.13005119819169278,0.0974816648695952,TRUE,0.768
Choice Frame,Accept - Reject,"Feedback=Full, TP=No TP",FulltickNoTimelimited,FullcrossNoTimelimited,rho_risky,-0.0024105839432205043,-0.05078634429484906,0.047651845927790516,TRUE,0.906
Choice Frame,Accept - Reject,"Feedback=Full, TP=No TP",FulltickNoTimelimited,FullcrossNoTimelimited,cf_contrib,0,0,0,TRUE,0
Choice Frame,Accept - Reject,"Feedback=Full, TP=TP",FulltickTimelimited,FullcrossTimelimited,beta_value,1.1600125826819,0.5846404049787933,1.7368957708838149,FALSE,0
Choice Frame,Accept - Reject,"Feedback=Full, TP=TP",FulltickTimelimited,FullcrossTimelimited,gamma,0.008701893898855029,-0.10364053660371073,0.12466634826741455,TRUE,0.875
Choice Frame,Accept - Reject,"Feedback=Full, TP=TP",FulltickTimelimited,FullcrossTimelimited,rho_risky,0.01408106823297025,-0.0354333056001291,0.07029437254333819,TRUE,0.6365000000000001
Choice Frame,Accept - Reject,"Feedback=Full, TP=TP",FulltickTimelimited,FullcrossTimelimited,cf_contrib,0,0,0,TRUE,0
Choice Frame,Accept - Reject,"Feedback=Partial, TP=No TP",PartialtickNoTimelimited,PartialcrossNoTimelimited,beta_value,1.5997315702537949,0.49026426296444603,2.724557161463056,FALSE,0.0035000000000000586
Choice Frame,Accept - Reject,"Feedback=Partial, TP=No TP",PartialtickNoTimelimited,PartialcrossNoTimelimited,gamma,-0.1762476516345466,-0.32468640697180057,-0.03005141681596676,FALSE,0.0175
Choice Frame,Accept - Reject,"Feedback=Partial, TP=No TP",PartialtickNoTimelimited,PartialcrossNoTimelimited,rho_risky,-0.02020217822722015,-0.08610771027602893,0.03650164808712862,TRUE,0.515
Choice Frame,Accept - Reject,"Feedback=Partial, TP=No TP",PartialtickNoTimelimited,PartialcrossNoTimelimited,cf_contrib,0,0,0,TRUE,0
Choice Frame,Accept - Reject,"Feedback=Partial, TP=TP",PartialtickTimelimited,PartialcrossTimelimited,beta_value,3.7440402979680028,2.6301600078217495,4.940755323161006,FALSE,0
Choice Frame,Accept - Reject,"Feedback=Partial, TP=TP",PartialtickTimelimited,PartialcrossTimelimited,gamma,-0.3607807489594358,-0.5158542379425168,-0.20416824149061732,FALSE,0
Choice Frame,Accept - Reject,"Feedback=Partial, TP=TP",PartialtickTimelimited,PartialcrossTimelimited,rho_risky,-0.029275454430269552,-0.09728853565844972,0.028453917248264706,TRUE,0.3675
