task,n_obs,n_participants_original,n_participants_dynamic,n_trials,elpd_loo_original,elpd_loo_dynamic,delta_elpd_loo_dynamic_minus_original,delta_elpd_loo_se_approx,looic_original,looic_dynamic,elpd_waic_original,elpd_waic_dynamic,delta_elpd_waic_dynamic_minus_original,delta_elpd_waic_se_approx,waic_original,waic_dynamic,preferred_by_loo,preferred_by_waic
FullcrossNoTimelimited,2600,65,65,40,-1750.477469295549,-1667.3190302063354,83.15843908921374,18.475682798511357,3500.954938591098,3334.6380604126707,-1750.3838098687788,-1666.3401199338882,84.04368993489061,18.426836082582582,3500.7676197375577,3332.6802398677764,dynamic,dynamic
FullcrossTimelimited,2600,65,65,40,-1719.756126255333,-1649.7384529154103,70.01767333992257,19.27887663130548,3439.512252510666,3299.4769058308207,-1719.6551872168905,-1648.6556554771055,70.99953173978497,19.24411112624553,3439.310374433781,3297.311310954211,dynamic,dynamic
FulltickNoTimelimited,2600,65,65,40,-1738.471164615495,-1660.7144465991767,77.75671801631825,18.84104389417994,3476.94232923099,3321.4288931983533,-1738.381202715089,-1659.8600118173572,78.52119089773191,18.819785955061334,3476.762405430178,3319.7200236347144,dynamic,dynamic
FulltickTimelimited,2600,65,65,40,-1718.0324329031832,-1612.1320191263271,105.90041377685611,21.565644064805632,3436.0648658063665,3224.2640382526542,-1717.925406360651,-1611.0748468659049,106.85055949474622,21.52933380153413,3435.850812721302,3222.1496937318097,dynamic,dynamic
PartialcrossNoTimelimited,2240,56,56,40,-1369.6273573961407,-1290.8858942011916,78.74146319494912,25.410732949245574,2739.2547147922814,2581.771788402383,-1369.3860191572494,-1289.2050870521205,80.18093210512893,25.332007423738947,2738.772038314499,2578.410174104241,dynamic,dynamic
PartialcrossTimelimited,2240,56,56,40,-1398.3270190150056,-1348.5641928423959,49.76282617260972,24.8587062066754,2796.654038030011,2697.1283856847917,-1398.1474214111465,-1347.3892940953954,50.75812731575115,24.81554816259458,2796.294842822293,2694.7785881907907,dynamic,dynamic
PartialtickNoTimelimited,2240,56,56,40,-1349.6625751125534,-1242.664161844167,106.99841326838646,27.09319474625625,2699.325150225107,2485.328323688334,-1349.4788321235233,-1241.2599420669117,108.2188900566116,27.040819067210844,2698.9576642470465,2482.5198841338233,dynamic,dynamic
PartialtickTimelimited,2240,56,56,40,-1322.0975492794835,-1214.4151810897042,107.68236818977925,28.92415958685199,2644.195098558967,2428.8303621794084,-1321.933499828792,-1213.2700706433927,108.66342918539931,28.87809116071528,2643.866999657584,2426.5401412867855,dynamic,dynamic
