task,new_top1,old_top1,delta_new_minus_old
FullcrossNoTimelimited,0.6511538461538462,0.6588461538461539,-0.007692307692307665
FullcrossTimelimited,0.6469230769230769,0.6503846153846153,-0.003461538461538405
FulltickNoTimelimited,0.6638461538461539,0.67,-0.006153846153846176
FulltickTimelimited,0.6788461538461539,0.6803846153846154,-0.0015384615384614886
PartialcrossNoTimelimited,0.7017857142857142,0.7214285714285714,-0.019642857142857184
PartialcrossTimelimited,0.7084821428571428,0.7183035714285714,-0.009821428571428537
PartialtickNoTimelimited,0.715625,0.7401785714285715,-0.024553571428571508
PartialtickTimelimited,0.7392857142857143,0.7491071428571429,-0.009821428571428537
