effect,level_a,level_b,parameter,n_draws,mean_a,mean_b,mean_diff,q025,q50,q975,p_diff_gt_0,posterior_tail_p,pd,excludes_zero_95
feedback,Full,Partial,alpha_pop,1200,0.7889524314147162,0.644011413043528,0.14494101837118806,0.001668948783948788,0.14803643997683602,0.2601431589867631,0.9758333333333333,0.04833333333333334,0.9758333333333333,TRUE
feedback,Full,Partial,beta_pop,1200,1.2943167010580614,3.7193217268707564,-2.425005025812695,-3.3140039923716533,-2.4203560966995576,-1.5338338445676063,0,0,1,TRUE
feedback,Full,Partial,gamma_pop,1200,0.016534831748223504,0.09172979521699114,-0.07519496346876764,-0.213049289742238,-0.07424788151879691,0.06121418184420243,0.1325,0.265,0.8674999999999999,FALSE
timepressure,TP,No TP,alpha_pop,1200,0.6821248157846723,0.7508390286735719,-0.06871421288889953,-0.1967149256709286,-0.0694081417324321,0.061724379499573,0.155,0.31,0.845,FALSE
timepressure,TP,No TP,beta_pop,1200,2.672387505701891,2.341250922226927,0.3311365834749643,-0.595137244275353,0.3349119289200768,1.2758971875660094,0.7483333333333333,0.5033333333333334,0.7483333333333333,FALSE
timepressure,TP,No TP,gamma_pop,1200,0.1288978316834778,-0.020633204718263146,0.14953103640174092,0.016738270841699127,0.15088085677666752,0.2702343245396673,0.9891666666666666,0.021666666666666723,0.9891666666666666,TRUE
choice_frame,Accept,Reject,alpha_pop,1200,0.733883379073849,0.69908046538439506,0.034802913689453964,-0.10653761540934263,0.03874418271357255,0.15509685283614238,0.7025,0.595,0.7025,FALSE
choice_frame,Accept,Reject,beta_pop,1200,3.080534921941091,1.9331035059877266,1.1474314159533647,0.24266988751202287,1.1501290432229434,2.0210741930134266,0.9908333333333333,0.018333333333333313,0.9908333333333333,TRUE
choice_frame,Accept,Reject,gamma_pop,1200,0.0011458013476573707,0.10711882561755727,-0.1059730242698999,-0.23688804953209855,-0.10269789661113247,0.01618088141758212,0.04833333333333333,0.09666666666666666,0.9516666666666667,FALSE
