scope,old_model_top1,new_simplified_top1,reference_73_50,delta_new_minus_old,delta_new_minus_73_50,delta_old_minus_73_50
non4060_weighted_by_trials,0.6960743801652892,0.6861570247933885,0.735,-0.009917355371900749,-0.048842975206611516,-0.03892561983471077
non4060_unweighted_task_mean,0.6985791552197802,0.6882434752747253,0.735,-0.01033567994505491,-0.046756524725274695,-0.036420844780219785
