parameter,group,mean,q025,q17,q83,q975,dmax,y95,y66,ydot
alpha,Limited,1.092690785963614,0.7870792335442744,0.9453754462890545,1.2418370981618483,1.3953944670276026,2.5797509310534856,0.1418863012079417,0.2192788291395463,0.2966713570711509
alpha,Unlimited,1.1948529149738742,0.896107892573099,1.0480374994358448,1.3410166122121074,1.4994987404919915,2.5797509310534856,0.09029128258687201,0.16768381051847658,0.24507633845008114
beta_restored,Limited,-0.11595713981238048,-0.36171313991605486,-0.22119552790862443,-0.010637425017552998,0.19160715893525326,4.127591280114497,0.22701752040629733,0.3508452588097322,0.47467299721316714
beta_restored,Unlimited,-0.21957507311118207,-0.4625866092306461,-0.3196906996345735,-0.12256286609514451,0.05024454146364086,4.127591280114497,0.1444656948040074,0.2682934332074423,0.3921211716108772
gamma,Limited,0.2247327764840803,0.13557583662069708,0.18163799497530497,0.26797348635558493,0.31188585154611315,8.962236823513955,0.49292302529326754,0.7617901299986862,1.0306572347041048
gamma,Unlimited,0.0794746835982353,-0.0064741332888903335,0.038152930801037724,0.11974185793486485,0.16568529478755656,8.962236823513955,0.3136782888229884,0.5825453935284071,0.8514124982338257
