parameter,p_gt0,p_lt0,diff_mean,diff_hdi95_lo,diff_hdi95_hi,hdi95_crosses_zero,hdi95_direction,label
beta_restored,0.32092168976456836,0.6790783102354316,-0.13522150680143158,-0.9242921272737036,0.6017478873086243,TRUE,Crosses 0,"95% HDI=[-0.924, 0.602]
Cross 0? Yes (Crosses 0)
P(Δ>0)=0.321
Δ mean=-0.135"
alpha,0.5971666666666666,0.4028333333333333,0.07158374325752319,-0.5491204449002312,0.6579119568685128,TRUE,Crosses 0,"95% HDI=[-0.549, 0.658]
Cross 0? Yes (Crosses 0)
P(Δ>0)=0.597
Δ mean=0.072"
gamma,0.5543333333333333,0.44566666666666666,0.012996845956027153,-0.15457930983467605,0.18404545746919035,TRUE,Crosses 0,"95% HDI=[-0.155, 0.184]
Cross 0? Yes (Crosses 0)
P(Δ>0)=0.554
Δ mean=0.013"
