parameter,p_gt0,p_lt0,diff_mean,diff_hdi95_lo,diff_hdi95_hi,hdi95_crosses_zero,hdi95_direction,label
beta_restored,0.7101666666666666,0.28983333333333333,0.06203749563481249,-0.1757797143352176,0.29815495466284214,TRUE,Crosses 0,"95% HDI=[-0.176, 0.298]
Cross 0? Yes (Crosses 0)
P(Δ>0)=0.710
Δ mean=0.062"
alpha,0.311,0.689,-0.1546563578284618,-0.7880772597096347,0.4674594603110889,TRUE,Crosses 0,"95% HDI=[-0.788, 0.467]
Cross 0? Yes (Crosses 0)
P(Δ>0)=0.311
Δ mean=-0.155"
gamma,0.9513333333333334,0.048666666666666664,0.15371828784994238,-0.03156187523444595,0.33516341181003473,TRUE,Crosses 0,"95% HDI=[-0.032, 0.335]
Cross 0? Yes (Crosses 0)
P(Δ>0)=0.951
Δ mean=0.154"
