draw,group,alpha,beta_restored,gamma
1,Limited,1.1597098080076989,-0.10116793338614274,0.30141874185070344
1,Unlimited,1.080355215582294,-0.21775760297648394,0.10239350754640814
2,Limited,1.1112019503304336,-0.21647365416021924,0.13925635349964668
2,Unlimited,1.2879793879025516,-0.13962832619566176,0.12335345192243508
3,Limited,0.9143056975725045,0.1540612596037763,0.1931740389369641
3,Unlimited,0.8499206485960438,-0.24752213017224867,0.10501318626361156
4,Limited,1.3019822703938224,-0.045093074150025385,0.23627971462100764
4,Unlimited,0.916431270234859,-0.3248991270207659,0.039033211136897956
5,Limited,0.945354202599142,0.02949007595042624,0.23102722477567206
5,Unlimited,1.0966342617757685,-0.7591201166296977,0.08663383740422455
6,Limited,1.1479761407448579,-0.16497930308048997,0.20483874822472203
6,Unlimited,1.1935036798610275,-0.29497063225549347,0.18792943781338592
7,Limited,0.8455313056651044,-0.022772090437276564,0.18197873928632563
7,Unlimited,1.232774840172684,-0.2769362438955884,0.030393979921438826
8,Limited,1.0912547530616459,-0.19701386720156117,0.2263876897529209
8,Unlimited,1.3306526062586141,-0.2571023689483148,0.05530450062971698
9,Limited,1.0585639143872343,-0.23150871114862168,0.22993993574703162
9,Unlimited,1.2263901487894802,-0.36125977272590865,0.10125539599279362
10,Limited,1.086694747365877,0.1154832665206022,0.1852193086622648
10,Unlimited,1.3244976160161062,-0.3291657080153598,0.04827799664904296
11,Limited,1.039897326196407,-0.1164215242914658,0.22567637886812622
11,Unlimited,0.9633626405538411,-0.7652448281022336,0.1200028330885763
12,Limited,1.2341393074723344,-0.20983289600753668,0.2222789554968772
12,Unlimited,1.360200537700119,-0.19238545437678656,-0.05049035318675299
13,Limited,1.1452758715620255,-0.1862555350560523,0.23202056418873412
13,Unlimited,1.1216120751550096,-0.1907395359670332,0.0977159877911313
14,Limited,1.03071257440516,-0.008886283018385798,0.22541900759878836
14,Unlimited,1.2673831273746619,-0.2847189144709596,0.06393780822385184
15,Limited,1.0034698697982931,-0.25629408272651355,0.23404537161369365
15,Unlimited,0.9731142177132148,-0.40303290742383024,0.06153582791291806
16,Limited,1.2572762595863989,-0.13023090507225185,0.19447286792761187
16,Unlimited,1.3323476476472318,-0.22543267779726023,0.028410286828708414
17,Limited,1.118342988551671,-0.07952847237103022,0.13163015874828074
17,Unlimited,1.3304400401241696,-0.07442007552633204,0.1270513552487813
18,Limited,1.0157609459396133,0.15448340564151433,0.24931040098743978
18,Unlimited,1.2336279626266002,-0.28685914787081396,0.09328273567102238
19,Limited,0.9831362704087773,0.015009503190764072,0.2042295216721261
19,Unlimited,1.0441110779519247,-0.34303979071379465,0.08888930598539739
20,Limited,1.2250256226185379,-0.1223433305787538,0.23527638688338318
20,Unlimited,1.2084015742623408,0.11627202869825601,0.051354529796231
21,Limited,0.9426547441776437,-0.026122169169819843,0.25959797782431776
21,Unlimited,1.282264125809285,-0.3504403692951507,0.08946363758531736
22,Limited,1.2836022842094332,-0.18682644933182654,0.1710898015491682
22,Unlimited,1.1466672491828374,-0.2632352445974523,0.17483772880184698
23,Limited,1.2944775563758415,-0.18724711042106323,0.3096434468596037
23,Unlimited,1.0851535443818958,-0.22989106150015443,0.07835009996841416
24,Limited,1.0058123768998115,-0.042905829565451234,0.28790951769235573
24,Unlimited,1.2157048956886696,0.004554416478814059,0.08167502983415567
25,Limited,1.121018107260261,-0.14833920196508266,0.22286228470520195
25,Unlimited,1.224507870453343,0.07715616162637941,0.052399441571099145
26,Limited,0.9572790342657717,-0.14432635419066994,0.25530018244502783
26,Unlimited,1.0003930829687908,-0.40857910227970756,0.05613818543824306
27,Limited,1.1576596857523995,-0.13625781149651245,0.2453921714432902
27,Unlimited,1.3917217130359658,-0.2658916048919941,0.044408604908109134
28,Limited,1.240030959382533,-0.14594965740258825,0.2553093237575148
28,Unlimited,1.202435854270345,-0.21523685144828783,0.06363580089261667
29,Limited,0.9425480857788284,0.04940090058127361,0.17934013796747925
29,Unlimited,1.4446062169278382,-0.19317038115611523,0.024691357318003402
30,Limited,0.9304264258842299,-0.17108253306617477,0.24652098538165895
30,Unlimited,1.2961941837071227,0.11652940373640058,0.10857298039166872
31,Limited,1.3738812833714567,-0.2667032649078188,0.3343686375996701
31,Unlimited,1.1428667058682398,-0.2478400568492924,0.09982138452008617
32,Limited,1.268375704216449,-0.10168689844993015,0.1597347730836167
32,Unlimited,1.217942880659246,-0.23149598088394657,0.05052803813622611
33,Limited,1.2644483398840796,-0.1611357465291597,0.32443945194759977
33,Unlimited,1.177333389934714,-0.16960251649370514,0.08238219095174498
34,Limited,1.0938167784309774,-0.08782923706324783,0.21680595177287693
34,Unlimited,1.1087782875824725,-0.186725655249791,0.06325142655259092
35,Limited,0.9771725044846089,-0.15604404460134166,0.255927790296916
35,Unlimited,1.2129967228149197,-0.2203077162513341,0.0764570297725932
36,Limited,0.9770235793548399,-0.07580492965586448,0.20544800668230845
36,Unlimited,1.1352384267397395,-0.0034550712402278624,0.11974180839326233
37,Limited,0.7667116256040921,-0.2550393752124464,0.220633134370148
37,Unlimited,1.372549706536779,-0.22285875604333966,0.05665637374275718
38,Limited,1.0675750521878538,-0.08831397299519633,0.22196583862494162
38,Unlimited,1.1229870164160287,-0.31744726221005526,0.036596439912955775
39,Limited,1.0326978149050965,-0.13039839683186188,0.14984737035525672
39,Unlimited,0.9562499940821674,-0.3183638706294363,0.13408658298254378
40,Limited,1.0553498905796066,-0.07677640940475529,0.25737682087783104
40,Unlimited,0.9697958806334879,-0.4514634402563347,0.07888497472118569
41,Limited,1.1114984200036666,-0.09125432443512077,0.22727311277023943
41,Unlimited,1.2497956972304944,-0.173116570155245,0.1275433981881147
42,Limited,1.2031866295831692,-0.10960212490020936,0.28594975781719856
42,Unlimited,1.0579493327189833,-0.3410838578414823,0.05782323053276965
43,Limited,1.1740726410312097,-0.09142801829384578,0.16372592862553167
43,Unlimited,1.2273702756515141,-0.22800984110461892,0.10526178706427754
44,Limited,0.9630433396898231,0.008224618329454668,0.23688913417623433
44,Unlimited,1.0088757845652971,-0.2792436003893481,0.04467890846955368
45,Limited,0.8322608446642844,-0.15755734572218277,0.20750394969255634
45,Unlimited,1.1058799570951843,-0.29690659168915745,0.060270104280705374
46,Limited,1.1971630399635265,-0.00966282411041433,0.2791608137977532
46,Unlimited,1.3467475271465312,-0.21641436775524842,0.1045239371666233
47,Limited,0.847161892052716,0.0733112747364737,0.20212126251332907
47,Unlimited,1.2534762109958468,-0.23230373534540055,0.10912451484328868
48,Limited,1.262523130479231,-0.012650311114621081,0.24970750284406873
48,Unlimited,1.400495546136585,-0.19191527805307446,0.10864862987352952
49,Limited,1.0495373655557656,-0.25954191542839505,0.20506141132841993
49,Unlimited,1.549636422931345,-0.28892015084374006,0.0884965136897447
50,Limited,1.1279837015254166,-0.11419141568656371,0.27003769592248517
50,Unlimited,1.1348516220865867,-0.26307383383957034,0.06502570073523949
51,Limited,0.9317949300911059,0.007059833931860299,0.21042948868945935
51,Unlimited,1.085152624282911,-0.22427637460193228,0.04317572649918133
52,Limited,0.8921152482089088,-0.23552544348425294,0.21815793957309224
52,Unlimited,1.3527871257389916,-0.2204354306895944,0.11437404751579555
53,Limited,1.0057403933009184,0.0250419358984834,0.23852454562630296
53,Unlimited,1.2181814907720385,-0.23578365685103406,0.007082488364270867
54,Limited,1.20145529164891,0.048894004344977315,0.16350139226388097
54,Unlimited,1.1350092184567642,-0.08865372733549548,0.15387566679973252
55,Limited,1.2108270007758724,-0.03836130013729422,0.22691838508816609
55,Unlimited,1.0549418267280817,-0.06969453241296569,0.05792573651607814
56,Limited,1.3704016368345857,-0.14250863021793847,0.2175290927118156
56,Unlimited,0.9422993669897005,-0.28159823763922015,0.057673147523279004
57,Limited,0.9649022764217496,-0.1822085808255272,0.22748998158817893
57,Unlimited,1.2154922152324057,-0.2299412557132807,0.1234289944333809
58,Limited,0.9753267597060725,0.4124506776529765,0.17258727766852483
58,Unlimited,1.208998655542368,-0.2374094840807473,0.08803800252881071
59,Limited,1.0365506268480733,-0.17876403476279096,0.24974753541877315
59,Unlimited,1.2505332577916592,-0.3184728199438414,0.025238913355131353
60,Limited,1.0602950062495233,-0.014689077832180274,0.27781525602366625
60,Unlimited,1.240970586053664,-0.07028145805045312,0.08880322326895074
61,Limited,1.1551926017232919,-0.1793164733583542,0.296054302634956
61,Unlimited,1.4026925728191906,-0.19070033326147692,0.06864742833015101
62,Limited,1.0912540658302243,-0.17283656628995045,0.2321546635231211
62,Unlimited,1.1910333746370492,-0.15823824107792175,-0.024434198813570767
63,Limited,1.1865635347877999,-0.10449027328594315,0.21759175013834395
63,Unlimited,1.1324812814353293,-0.20866131379366912,0.09480213217372319
64,Limited,1.3299784733856674,-0.05419435870089928,0.17376201647578332
64,Unlimited,1.2385364271679071,-0.15610360897422065,0.06866655654329695
65,Limited,1.355498337157118,-0.1182887357578597,0.30604268962879305
65,Unlimited,0.9762059034531092,-0.2763513161621126,0.029903735015135473
66,Limited,1.424767373307485,-0.13624521110935472,0.1860943211773602
66,Unlimited,0.9950156152517605,-0.2379649327984246,0.10100551062565148
67,Limited,1.0417354787024289,0.1087914217441848,0.2652180146425714
67,Unlimited,1.1422722625182495,-0.20331555925238168,0.003091651824501998
68,Limited,0.9585579111932976,-0.23962021407689768,0.29910083069471377
68,Unlimited,1.1829931665183702,-0.34342509631429763,0.0056468355767104045
69,Limited,0.8733454376586185,-0.2976428518604322,0.23113952657347084
