trial,top1_accuracy
1,0.6964285714285714
2,0.5178571428571429
3,0.5892857142857143
4,0.6428571428571429
5,0.75
6,0.6607142857142857
7,0.7142857142857143
8,0.7142857142857143
9,0.6071428571428571
10,0.6964285714285714
11,0.7678571428571429
12,0.6607142857142857
13,0.5535714285714286
14,0.7321428571428571
15,0.6964285714285714
16,0.8035714285714286
17,0.7142857142857143
18,0.8035714285714286
19,0.6607142857142857
20,0.7678571428571429
21,0.7142857142857143
22,0.7321428571428571
23,0.8035714285714286
24,0.6428571428571429
25,0.6607142857142857
26,0.7857142857142857
27,0.5535714285714286
28,0.6964285714285714
29,0.75
30,0.6964285714285714
31,0.7142857142857143
32,0.7321428571428571
33,0.8392857142857143
34,0.6607142857142857
35,0.625
36,0.7321428571428571
37,0.7142857142857143
38,0.75
39,0.7678571428571429
40,0.6964285714285714
