trial,top1_accuracy
1,0.7846153846153846
2,0.7076923076923077
3,0.5846153846153846
4,0.6
5,0.6461538461538462
6,0.6461538461538462
7,0.6153846153846154
8,0.5538461538461539
9,0.7076923076923077
10,0.676923076923077
11,0.676923076923077
12,0.5692307692307692
13,0.6461538461538462
14,0.7384615384615385
15,0.676923076923077
16,0.6461538461538462
17,0.5230769230769231
18,0.7230769230769231
19,0.6923076923076923
20,0.5384615384615384
21,0.6
22,0.6
23,0.6
24,0.6153846153846154
25,0.6307692307692307
26,0.5846153846153846
27,0.6307692307692307
28,0.6461538461538462
29,0.5076923076923077
30,0.5538461538461539
31,0.7076923076923077
32,0.7538461538461538
33,0.6307692307692307
34,0.6461538461538462
35,0.6153846153846154
36,0.5538461538461539
37,0.6307692307692307
38,0.5384615384615384
39,0.6923076923076923
40,0.6
