effect,parameter,group_a,q50_a,group_b,q50_b,delta_q50
feedback,mu_alpha,Full,0.602246403702031,Partial,1.7078909490496401,-1.1056445453476091
feedback,mu_beta_restored_robust,Full,3.553522030034492e-4,Partial,-0.3778339696421989,0.3781893218452023
feedback,mu_gamma,Full,0.01017838822937742,Partial,0.27608814785507774,-0.2659097596257003
choice_frame,mu_alpha,Accept,1.3551413232328327,Reject,0.9754174002151186,0.37972392301771407
choice_frame,mu_beta_restored_robust,Accept,-0.3472077524358828,Reject,-0.11881694505998495,-0.22839080737589784
choice_frame,mu_gamma,Accept,0.13227233693239238,Reject,0.15365486523296062,-0.02138252830056825
time_pressure,mu_alpha,TP,0.998071006210733,No TP,1.172768903421952,-0.17469789721121898
time_pressure,mu_beta_restored_robust,TP,-0.11995000239763424,No TP,-0.2671903173411249,0.14724031494349066
time_pressure,mu_gamma,TP,0.20107803742672103,No TP,0.06303650284875327,0.13804153457796775
