trial,top1_accuracy
1,0.676923076923077
2,0.6923076923076923
3,0.6307692307692307
4,0.6
5,0.6153846153846154
6,0.7076923076923077
7,0.7538461538461538
8,0.5692307692307692
9,0.7230769230769231
10,0.7230769230769231
11,0.6615384615384615
12,0.6461538461538462
13,0.6615384615384615
14,0.6153846153846154
15,0.6153846153846154
16,0.5538461538461539
17,0.6615384615384615
18,0.6461538461538462
19,0.5538461538461539
20,0.6153846153846154
21,0.676923076923077
22,0.5692307692307692
23,0.6923076923076923
24,0.6923076923076923
25,0.5692307692307692
26,0.6307692307692307
27,0.5384615384615384
28,0.6461538461538462
29,0.6153846153846154
30,0.5846153846153846
31,0.5538461538461539
32,0.6153846153846154
33,0.47692307692307695
34,0.6153846153846154
35,0.46153846153846156
36,0.5692307692307692
37,0.5846153846153846
38,0.7230769230769231
39,0.5384615384615384
40,0.6153846153846154
