"task","parameter","mean","median","sd","q025","q10","q90","q975"
"FullcrossNoTimelimited","mu_beta_restored","0.10602253156413245","0.017869437076639277","7.101293432599717","-1.9876534394357597","-0.42440003229273426","0.638915597062694","2.534744477845759"
"FullcrossTimelimited","mu_beta_restored","0.17146739727364468","0.1065645337273495","2.6258063200942297","-0.27400457555978724","-0.1251648144011017","0.5041489399114595","1.1744454674498033"
"FulltickNoTimelimited","mu_beta_restored","-0.05073586652559135","-0.11260069107290153","5.62225214560956","-0.5351655288055285","-0.3345134816814169","0.10980109928720669","0.3400086349920169"
"FulltickTimelimited","mu_beta_restored","-0.23253039587789356","0.031184676169434496","20.28769240040157","-1.5426039246103038","-0.3949622542294873","0.596761162117519","2.0117486881237143"
"PartialcrossNoTimelimited","mu_beta_restored","-0.33417630410654836","-0.3211145948535128","0.1356191049262698","-0.6470628112491893","-0.5019302509096674","-0.18016473172321879","-0.10495939695354518"
"PartialcrossTimelimited","mu_beta_restored","-0.1317103701816783","-0.1481123758193415","1.8571018129710726","-0.44939137446040195","-0.3185075840773449","-7.150410348177074e-4","0.10908836412454075"
"PartialtickNoTimelimited","mu_beta_restored","-0.4370636039684637","-0.42763016110954455","0.09761655309460227","-0.6580833598367373","-0.5618644230175833","-0.32443885824773033","-0.27285173475142127"
"PartialtickTimelimited","mu_beta_restored","-0.49146825042811687","-0.4826186531158019","0.09603749703033813","-0.7059741230878682","-0.6123236232906915","-0.3794271658216465","-0.32772488787983645"
