task,task_label,feedback,frame,time_pressure,mu_alpha_mean,mu_alpha_lo,mu_alpha_hi,mu_beta_restored_robust_mean,mu_beta_restored_robust_lo,mu_beta_restored_robust_hi,mu_gamma_mean,mu_gamma_lo,mu_gamma_hi,sigma_alpha_mean,sigma_alpha_lo,sigma_alpha_hi,sigma_beta_mean,sigma_beta_lo,sigma_beta_hi,sigma_gamma_mean,sigma_gamma_lo,sigma_gamma_hi
FullcrossNoTimelimited,Full | Reject | No TP,Full,Reject,No TP,0.4445138055547144,-0.1357167957504281,1.0387620270539284,0.03847406613825583,-0.8164196593159467,1.0104578644063067,-0.04776241538211127,-0.2009898598824337,0.10287353283044448,0.33847557445713544,0.01211814743501412,0.9564777030298879,0.20618152306390128,0.008584907170541575,0.5460546314514503,0.5346365189313288,0.406980396776349,0.6883408531221819
FullcrossTimelimited,Full | Reject | TP,Full,Reject,TP,0.6909126973095032,0.1085834256784857,1.2745691022013907,0.15328674938961886,-0.25108786712374803,0.9093453338341461,0.0652581073779928,-0.10995428471945559,0.24191579305847263,0.30214448240567593,0.010867637409499867,0.8593816854585355,0.1853534356321796,0.007301523445506241,0.5021103136415184,0.6483683153362724,0.5052294823121848,0.8214688674812797
FulltickNoTimelimited,Full | Accept | No TP,Full,Accept,No TP,0.8121643407590853,0.22102133770737534,1.424683485794033,-0.11254690406633591,-0.5185467067000706,0.32245946856279684,-0.05854294458772769,-0.21464736577372495,0.10254267215447013,0.3662496727138779,0.01600153335523114,1.022389875248618,0.18274522640405655,0.007377380685642167,0.49705857858079144,0.5565197833421075,0.4269833398334068,0.7098481046750805
FulltickTimelimited,Full | Accept | TP,Full,Accept,TP,0.4664296486201787,-0.14718633528725772,1.0723533228986653,0.05526677928671093,-0.7166529175452877,0.9944157769005209,0.10203232849566353,-0.07613415736599372,0.28104757417647797,0.45257563435579107,0.022778479587782712,1.203007188683337,0.18271932853788472,0.007090479202663678,0.49847409468011505,0.6504257642633189,0.5058366466465543,0.817153623889022
PartialcrossNoTimelimited,Partial | Reject | No TP,Partial,Reject,No TP,1.5302933586133933,0.9230841127468988,2.128161911996548,-0.33417630410654836,-0.6470628112491893,-0.10495939695354518,0.2485200924386289,0.06235192273621587,0.43659902372633064,0.4722065451162514,0.020240373989510237,1.2978434177623839,0.8955663578651887,0.5527142483575276,1.2702550164576287,0.6018941247102565,0.4426501684806599,0.7862662594488267
PartialcrossTimelimited,Partial | Reject | TP,Partial,Reject,TP,1.28911146835017,0.5971853314232276,1.9633061444424045,-0.15561729223920218,-0.4493934952545947,0.10802587549245907,0.45605808972151596,0.2785011214266484,0.6362239589045452,0.40732555791260155,0.013459757168389052,1.1288052022760993,0.6640854499281665,0.20428479553147186,1.0582636167046604,0.5999311071518234,0.456088440387714,0.7703279189474149
PartialtickNoTimelimited,Partial | Accept | No TP,Partial,Accept,No TP,1.9924401549683042,1.373206499557478,2.598129068049998,-0.4370636039684637,-0.6580833598367373,-0.27285173475142127,0.17568400192415126,-0.009271356821656918,0.3607903390841803,0.4027093949640799,0.01734922714124345,1.109167037824819,0.722613681075925,0.36011067643187683,1.0660368809864191,0.5547065584635534,0.4046018202309569,0.7343163235199804
PartialtickTimelimited,Partial | Accept | TP,Partial,Accept,TP,1.9243093295746039,1.3911023182485402,2.470942889431212,-0.49146825042811687,-0.7059741230878682,-0.32772488787983645,0.27558258034114896,0.0993669198364073,0.45527413839440445,0.5374935007918256,0.0314683389752812,1.2981882507045146,0.5216308967033487,0.08020458160046753,0.8861798115722163,0.5202366996697512,0.37481552413599045,0.6882952676420465
