draw,group,alpha,beta_restored,gamma
1,Accept,1.2152790321475209,-0.22330675982301468,0.16824116404321626
1,Reject,1.0247859914424717,-0.09561877653961201,0.23557108535389532
2,Accept,1.4739053036086027,-0.2535465065735553,0.08868199921369772
2,Reject,0.9252760346243823,-0.10255547378232571,0.17392780620838402
3,Accept,1.043569576960506,-0.13684955481331715,0.13027187463496748
3,Reject,0.7206567692080423,0.07105682808457768,0.1679153505656082
4,Accept,1.4808014655567041,-0.26579054251201645,0.1260940433256677
4,Reject,0.7376120750719773,-0.1042016586587748,0.14921888243223788
5,Accept,1.2514026056064451,-0.17434121821276388,0.1230458907797956
5,Reject,0.7905858587684655,-0.5552888224665076,0.194615171400101
6,Accept,1.3255328273368454,-0.3054115647608379,0.10359876593534857
6,Reject,1.01594699326904,-0.15453837057514552,0.28916942010275937
7,Accept,1.2294564832095483,-0.053819446929241635,0.09997761185375745
7,Reject,0.8488496626282402,-0.2458888874036233,0.11239510735400701
8,Accept,1.443268731591109,-0.2005463614741527,0.14542764449033396
8,Reject,0.9786386277291509,-0.25356987467572323,0.13626454589230388
9,Accept,1.5105164082012439,-0.19384169441746374,0.18390453220205658
9,Reject,0.7744376549754708,-0.3989267894570666,0.14729079953776866
10,Accept,1.3446654913879041,-0.28041659760343685,0.06877196105361859
10,Reject,1.066526871994079,0.06673415610867925,0.16472534425768917
11,Accept,1.1866830151822212,-0.18650174230234673,0.1565874930486394
11,Reject,0.8165769515680269,-0.6951646100913527,0.18909171890806314
12,Accept,1.4433224404491893,-0.3802860947484755,0.09409911000605257
12,Reject,1.1510174047232642,-0.02193225563584773,0.07768949230407164
13,Accept,1.4519033313642802,-0.25015391647932067,0.09813810752198568
13,Reject,0.8149846153527549,-0.12684115454376482,0.23159844445787975
14,Accept,1.1335586898855805,-0.2397588797139353,0.11930663018966117
14,Reject,1.1645370118942413,-0.05384631777541006,0.17005018563297902
15,Accept,1.1957582738892774,-0.4375010385457007,0.1253619365825819
15,Reject,0.7808258136222305,-0.22182595160464308,0.1702192629440298
16,Accept,1.4049437168622934,-0.3228059806068998,0.11411793035179697
16,Reject,1.1846801903713375,-0.03285760226261227,0.1087652244045233
17,Accept,1.2816667823700514,-0.07788115705124468,0.10798597900867807
17,Reject,1.1671162463057891,-0.07606739084611756,0.150695534988384
18,Accept,1.3035912627895099,0.005665676351804656,0.15101082234279287
18,Reject,0.9457976457767037,-0.1380414185811043,0.1915823143156693
19,Accept,1.2195666046310518,-0.21524061030303734,0.11962701486440477
19,Reject,0.80768074372965,-0.11278967721999324,0.1734918127931187
20,Accept,1.4827123354587173,-0.2856934073095601,0.1241041501370834
20,Reject,0.9507148614221612,0.27962210542906235,0.16252676654253076
21,Accept,1.3050601482320254,-0.37402541224066155,0.15853122605759945
21,Reject,0.9198587217549036,-0.08951293699201944,0.1905303893520357
22,Accept,1.4561874559147534,-0.27656093295055656,0.15288047800919316
22,Reject,0.9740820774775173,-0.1735007609787223,0.193047052341822
23,Accept,1.4301202050804211,-0.2471792735300312,0.15344564184373663
23,Reject,0.9495108956773162,-0.14998151068819715,0.23454790498428124
24,Accept,1.1678358246491536,0.024962269248521185,0.16301588451168256
24,Reject,1.0536814479393275,-0.06331368233515836,0.20656866301482885
25,Accept,1.4892705168556506,-0.25635641580826884,0.10274768420320979
25,Reject,0.8562554608579533,0.18517337546956558,0.17251404207309132
26,Accept,1.1580013035504897,-0.3721365354868229,0.15242552393517184
26,Reject,0.7996708136840729,-0.104832193884837,0.15901284394809906
27,Accept,1.2737154530932653,-0.3509881235928924,0.10683535015506156
27,Reject,1.2756659456951,-0.05116129279561415,0.1829654261963378
28,Accept,1.504335393250779,-0.22953371209817716,0.12398492768559331
28,Reject,0.9381314204020992,-0.13165279675269892,0.19496019696453815
29,Accept,1.1873576201554739,-0.2014498600441496,0.08355385046665181
29,Reject,1.1997966825511928,0.057680379469307985,0.12047764481883083
30,Accept,1.3156076071068334,-0.10917683093244854,0.1143510915131668
30,Reject,0.9110130024845193,0.05462370160267436,0.2407428742601609
31,Accept,1.2347961424664127,-0.3166407516180889,0.14307602558724788
31,Reject,1.2819518467732838,-0.19790257013902224,0.2911139965325084
32,Accept,1.3507180452708734,-0.3112333838813329,0.045945167525833226
32,Reject,1.1356005396048217,-0.0219494954525438,0.16431764369400959
33,Accept,1.422975006634849,-0.20821857800312174,0.2021996815079844
33,Reject,1.0188067231839446,-0.12251968501974311,0.20462196139136038
34,Accept,1.457142498912673,-0.15504998198458075,0.13961067686989942
34,Reject,0.7454525671007769,-0.11950491032845809,0.14044670145556842
35,Accept,1.2527483600076488,-0.2693122912431041,0.13445160516139992
35,Reject,0.9374208672918798,-0.1070394696095717,0.19793321490810925
36,Accept,1.2685925145681964,-0.2874910821242344,0.1410189785003935
36,Reject,0.8436694915263828,0.20823108122814207,0.18417083657517727
37,Accept,1.294249375059166,-0.2601395196433792,0.046700243276731945
37,Reject,0.8450119570817052,-0.20533169041239363,0.23058926483617323
38,Accept,1.0656466703047407,-0.4033430459270663,0.13902012574218195
38,Reject,1.1249153982991418,-0.08117545751115275,0.11954215279571544
39,Accept,1.2755181644990061,-0.24015410015263985,0.09392544734778062
39,Reject,0.7134296444882579,-0.17202293286839898,0.19000850599001987
40,Accept,1.1624977686302418,-0.39780749321063635,0.1018975683165856
40,Reject,0.8626480025828528,-0.13043235645045365,0.23436422728243111
41,Accept,1.4123482926084197,-0.19086800195568387,0.14374185037026355
41,Reject,0.9489458246257415,-0.07350289263468188,0.21107466058809057
42,Accept,1.0993172662067463,-0.3688848077846812,0.11690582851729572
42,Reject,1.1618186960954062,-0.14662184567812847,0.22686715983267247
43,Accept,1.4522720103658004,-0.33260124813076625,0.12359600787356002
43,Reject,0.9491709063169234,0.013163388732301572,0.14539170781624922
44,Accept,0.9927249324625158,-0.01376416818159585,0.12088895725039292
44,Reject,0.9791941917926046,-0.2499252183746141,0.1606790853953951
45,Accept,1.1718396584097825,-0.3077651844975424,0.13234331761615126
45,Reject,0.7663011433496859,-0.14669875291379783,0.13543073635711045
46,Accept,1.450203635705306,-0.1623004989457906,0.15739499650198008
46,Reject,1.0937069314047516,-0.06377669291987216,0.2262897544623964
47,Accept,1.3811092538083658,-0.11517131306598197,0.12443916037484586
47,Reject,0.719528849240197,-0.04382114754294489,0.1868066169817719
48,Accept,1.2815285013170468,-0.08321175217215962,0.11852241680348544
48,Reject,1.3814901752987692,-0.12135383699553592,0.23983371591411282
49,Accept,1.2742459978780976,-0.24162897583509796,0.08329452046860313
49,Reject,1.3249277906090133,-0.30683309043703716,0.21026340454956152
50,Accept,1.3355916664082406,-0.2176204386373336,0.1160018846264101
50,Reject,0.9272436572037628,-0.15964481088880042,0.21906151203131458
51,Accept,1.1986671102797735,-0.1301950799218759,0.10744427512047222
51,Reject,0.8182804440942433,-0.0870214607481961,0.1461609400681685
52,Accept,1.3934748055335688,-0.1934762905083906,0.15055882002165966
52,Reject,0.8514275684143315,-0.271470963725858,0.18197316706722813
53,Accept,1.3222816972609324,-0.32686758293598145,0.135842001514695
53,Reject,0.9016401868120244,0.11612586198343078,0.10976503247587883
54,Accept,1.2039898970183807,0.0859080183359004,0.12305269579776691
54,Reject,1.1324746130872936,-0.12566774132641856,0.1943243632658466
55,Accept,1.375908678886129,-0.23869262001568903,0.10774916792160746
55,Reject,0.889860148617825,0.13063678746542912,0.17709495368263675
56,Accept,1.162722539112754,-0.3328810117350217,0.16685812030136932
56,Reject,1.149978464711532,-0.09122585612213689,0.1083441199337253
57,Accept,1.133669378510575,-0.2603452578903802,0.12633148994558382
57,Reject,1.0467251131435804,-0.17133874791464096,0.224587486075976
58,Accept,1.1984612284068792,0.22740907219993306,0.10532432839932834
58,Reject,0.9858641868415612,-0.05236787862770388,0.15530095179800718
59,Accept,1.325302436140935,-0.14015898970640447,0.1544820108045114
59,Reject,0.9617814484987974,-0.35707786500022787,0.12050443796939311
60,Accept,1.5271828817720399,-0.1448709900379193,0.15876102345135445
60,Reject,0.7740827105311473,0.059900454155285936,0.20785745584126253
61,Accept,1.6247110009822978,-0.24528452349771732,0.16946963443169807
61,Reject,0.9331741735601845,-0.10274293307565945,0.19523209653340898
62,Accept,1.4272787681704955,-0.2592788514251168,0.03736908079539091
62,Reject,0.8550086722967779,-0.0717959559427554,0.17035138391415944
63,Accept,1.2820990983529879,-0.23814584976794412,0.09084562738556731
63,Reject,1.0369457178701413,-0.07500573731166812,0.22154825492649982
64,Accept,1.6902361643838824,-0.16588368921279223,0.04874330842152634
64,Reject,0.8782787361696922,-0.0444142784623277,0.19368526459755395
65,Accept,1.2673888436315213,-0.35068441020945856,0.15821848293116492
65,Reject,1.064315396978706,-0.04395564171051377,0.17772794171276363
66,Accept,1.5051837442053217,-0.1876518194032819,0.12723143489612468
66,Reject,0.9145992443539238,-0.16942278840652172,0.159868396906887
67,Accept,1.3120929017481315,-0.21290391529451713,0.116297688247574
67,Reject,0.871914839472547,0.11837977778632024,0.1520119782194994
68,Accept,1.0910908072258443,-0.43805440063903545,0.11748388259372686
68,Reject,1.0504602704858235,-0.19459945639269427,0.1872637836776973
69,Accept,1.3941176881760737,-0.26317677910372855,0.12107368957494102
69,Reject,0.8037509604735702,-0.23254718570935654,0.18188207316212085
70,Accept,1.1238442616733104,-0.35912788661615846,0.16020325585391373
70,Reject,0.8360859204565435,-0.0016595596539988825,0.16293604387971808
71,Accept,1.3181428751855702,-0.1434308909343355,0.1344302043429731
71,Reject,0.888190561368541,-0.09749168284969939,0.2167070649323809
72,Accept,1.6178632373314719,-0.2937676550050846,0.09005555284746486
72,Reject,0.7848237908822621,-0.10599983749677397,0.14103424592148145
73,Accept,1.1573131219905193,0.07417186805986042,0.20995503936461335
73,Reject,0.9517348908160908,-0.0729279633426821,0.28202829859457385
74,Accept,1.5515557685672077,-0.2970889469544938,0.11654486848040599
74,Reject,0.930400891744944,-0.1280311214155616,0.15920777594547453
75,Accept,1.2736954902547752,-0.2973028410313525,0.2175283871975245
75,Reject,0.9425416325426725,-0.17015419449698996,0.16195291535767417
76,Accept,1.4566291762389627,-0.23280559285482513,0.0956360184920892
76,Reject,0.8724889846876668,-0.05043322540853208,0.13400233147859422
77,Accept,1.2943270612789999,-0.3283587114324141,0.12726517537484533
77,Reject,1.095845726760504,0.14967447590995814,0.21079559586939384
78,Accept,1.267605097429244,-0.1507749270181562,0.12652775356249307
78,Reject,0.9561490867553052,-0.1448448507832572,0.17117485450256714
79,Accept,1.275448692753722,-0.3347498239015269,0.06404456304218151
79,Reject,0.7649924152519336,-0.1632549473751482,0.22698361333116795
80,Accept,1.2184952955808603,-0.386570748216216,0.025871121504987722
80,Reject,0.9254985836949903,0.04815520455018712,0.1509508334377069
81,Accept,1.2123975443812494,-0.37112490820745353,0.17744381243893845
81,Reject,0.9847094188903933,0.1452933574723252,0.11946391385552005
82,Accept,1.241592780474876,-0.2145121003843768,0.1968291504444217
82,Reject,1.2728469011219363,-0.02175725003848736,0.13930133285003765
83,Accept,1.2385203911629643,-0.1316969904632861,0.1687902511054043
83,Reject,0.91113271017222,-0.047815872371325646,0.2107528013629324
84,Accept,1.478061879454612,-0.16433616991553832,0.22879763491354277
84,Reject,0.7698285160351517,-0.27126921087400346,0.14422900820693724
85,Accept,1.4336863720301323,-0.22671975367683042,0.1248258910551762
85,Reject,0.7131209109324227,0.009772253543279853,0.20442667842193657
86,Accept,1.4918915259019647,-0.22691107204779531,0.06092986564059649
86,Reject,0.9922171471055701,0.2386971065735687,0.2762500727592901
87,Accept,1.252591052968288,-0.3397257640151299,0.08294218431047315
87,Reject,1.0843403758217924,-0.1124607338102084,0.20551157416698798
88,Accept,1.3241925656800424,-0.2968680926435865,0.08310191223096286
88,Reject,0.9974276317745226,-0.04735379769007868,0.10747439924684284
89,Accept,1.2336564316072565,-0.19467461154238475,0.08314212120986751
89,Reject,0.8939679599839848,-0.153119015319859,0.14685495358824624
90,Accept,1.2660949575668523,-0.31011953444501866,0.057495167869345415
90,Reject,1.034480243716995,0.26899676065657085,0.19010743597332197
91,Accept,1.320953537924525,-0.32332862137244395,0.17707342822272426
91,Reject,0.9646692427548177,-0.1541402455415845,0.21069063153980405
92,Accept,1.2742334069701284,-0.3465127714800305,0.07270327233705552
92,Reject,1.176549892007232,-0.10653945016281044,0.0985863126611224
93,Accept,1.2066679348133627,-0.2807167866851699,0.07527065965312095
93,Reject,1.1051012351484437,-0.060048963340888016,0.13653021218236758
