parameter,n,mean,q025,q975,p_gt0,p_lt0,tail_p,label
delta alpha,6000,-1.0805334548157475,-1.51957299268284,-0.6571992506495181,0,1,0,"P(Δ>0)=0.000
tail p=0.000
95%: [-1.520, -0.657]
Δ mean=-1.081"
delta beta_restored (robust),6000,0.38714535332392774,0.024553236738305232,0.8002101364117871,0.9791666666666666,0.020833333333333332,0.041666666666666664,"P(Δ>0)=0.979
tail p=0.042
95%: [0.025, 0.800]
Δ mean=0.387"
delta gamma,6000,-0.27371492213040693,-0.39595087859649747,-0.14875507210236938,0,1,0,"P(Δ>0)=0.000
tail p=0.000
95%: [-0.396, -0.149]
Δ mean=-0.274"
