trial,top1_accuracy
1,0.5892857142857143
2,0.5357142857142857
3,0.6071428571428571
4,0.5535714285714286
5,0.5892857142857143
6,0.6607142857142857
7,0.6785714285714286
8,0.6071428571428571
9,0.7321428571428571
10,0.6428571428571429
11,0.6964285714285714
12,0.6071428571428571
13,0.75
14,0.6428571428571429
15,0.6785714285714286
16,0.5714285714285714
17,0.7678571428571429
18,0.7142857142857143
19,0.75
20,0.75
21,0.7142857142857143
22,0.7678571428571429
23,0.7142857142857143
24,0.7678571428571429
25,0.8035714285714286
26,0.6964285714285714
27,0.6785714285714286
28,0.7321428571428571
29,0.6607142857142857
30,0.6964285714285714
31,0.6964285714285714
32,0.7321428571428571
33,0.6607142857142857
34,0.75
35,0.6428571428571429
36,0.6071428571428571
37,0.8392857142857143
38,0.6428571428571429
39,0.7142857142857143
40,0.6785714285714286
