parameter,n,mean,q025,q975,p_gt0,p_lt0,tail_p,label
delta alpha,6000,0.3101280360235978,-0.11354574955271342,0.7337536686188797,0.921,0.079,0.158,"P(Δ>0)=0.921
tail p=0.158
95%: [-0.114, 0.734]
Δ mean=0.310"
delta beta_restored (robust),6000,-0.17479445136656613,-0.5627711907032332,0.20309739948469183,0.142,0.858,0.284,"P(Δ>0)=0.142
tail p=0.284
95%: [-0.563, 0.203]
Δ mean=-0.175"
delta gamma,6000,-0.05682947699569758,-0.1829240174866721,0.06654338934075983,0.187,0.813,0.374,"P(Δ>0)=0.187
tail p=0.374
95%: [-0.183, 0.067]
Δ mean=-0.057"
