participant_index,top1_accuracy
1,0.65
2,0.55
3,0.625
4,0.625
5,0.75
6,0.9
7,0.425
8,0.9
9,0.575
10,0.625
11,0.925
12,0.975
13,0.65
14,0.675
15,0.675
16,0.875
17,0.675
18,0.7
19,0.6
20,0.65
21,0.725
22,0.775
23,0.925
24,0.7
25,0.6
26,0.625
27,0.675
28,0.7
29,0.65
30,0.7
31,0.6
32,0.525
33,0.575
34,0.55
35,0.925
36,0.6
37,0.625
38,0.675
39,0.625
40,0.525
41,0.575
42,1
43,0.75
44,0.6
45,0.825
46,0.6
47,0.625
48,0.8
49,0.9
50,0.625
51,0.65
52,0.65
53,0.55
54,0.725
55,0.775
56,0.9
