trial,top1_accuracy
1,0.5076923076923077
2,0.676923076923077
3,0.6461538461538462
4,0.6153846153846154
5,0.6
6,0.6307692307692307
7,0.5846153846153846
8,0.6461538461538462
9,0.6461538461538462
10,0.5384615384615384
11,0.6
12,0.5692307692307692
13,0.5692307692307692
14,0.676923076923077
15,0.6615384615384615
16,0.6615384615384615
17,0.6307692307692307
18,0.6
19,0.6
20,0.676923076923077
21,0.6
22,0.5538461538461539
23,0.676923076923077
24,0.7076923076923077
25,0.5538461538461539
26,0.5076923076923077
27,0.6307692307692307
28,0.47692307692307695
29,0.6461538461538462
30,0.7076923076923077
31,0.6461538461538462
32,0.5846153846153846
33,0.6307692307692307
34,0.6923076923076923
35,0.6461538461538462
36,0.5384615384615384
37,0.6461538461538462
38,0.5846153846153846
39,0.6461538461538462
40,0.5538461538461539
