participant_index,top1_accuracy
1,0.75
2,0.55
3,0.525
4,0.825
5,0.775
6,0.675
7,0.55
8,0.825
9,0.675
10,0.725
11,0.85
12,0.625
13,0.75
14,0.925
15,0.725
16,0.725
17,0.7
18,0.65
19,0.675
20,0.625
21,0.55
22,0.925
23,0.65
24,0.675
25,0.5
26,0.575
27,0.65
28,0.65
29,0.575
30,0.8
31,0.85
32,0.65
33,0.475
34,0.675
35,0.975
36,0.75
37,0.675
38,0.8
39,0.7
40,0.525
41,0.65
42,0.775
43,0.675
44,0.95
45,0.6
46,0.55
47,0.8
48,0.85
49,0.925
50,0.6
51,0.675
52,0.85
53,0.55
54,0.975
55,0.55
56,0.5
