trial,top1_accuracy
1,0.6307692307692307
2,0.6461538461538462
3,0.5692307692307692
4,0.5076923076923077
5,0.5846153846153846
6,0.5538461538461539
7,0.6461538461538462
8,0.49230769230769234
9,0.6307692307692307
10,0.6307692307692307
11,0.5846153846153846
12,0.5384615384615384
13,0.676923076923077
14,0.6307692307692307
15,0.5230769230769231
16,0.6
17,0.6307692307692307
18,0.6153846153846154
19,0.5846153846153846
20,0.6461538461538462
21,0.6461538461538462
22,0.6307692307692307
23,0.6615384615384615
24,0.6923076923076923
25,0.5384615384615384
26,0.6461538461538462
27,0.6615384615384615
28,0.7538461538461538
29,0.5846153846153846
30,0.6461538461538462
31,0.5538461538461539
32,0.5076923076923077
33,0.7076923076923077
34,0.6307692307692307
35,0.6
36,0.6307692307692307
37,0.6615384615384615
38,0.5538461538461539
39,0.5692307692307692
40,0.47692307692307695
