parameter,p_gt0,p_lt0,diff_mean,diff_hdi95_lo,diff_hdi95_hi,hdi95_crosses_zero,hdi95_direction,label
beta_restored,0.032,0.968,-0.21936537690667313,-0.44569563287313807,0.014407618592785477,TRUE,Crosses 0,"95% HDI=[-0.446, 0.014]
Cross 0? Yes (Crosses 0)
P(Δ>0)=0.032
Δ mean=-0.219"
alpha,0.9626666666666667,0.037333333333333336,0.5486723287896724,-0.06273540374276491,1.1385387849667203,TRUE,Crosses 0,"95% HDI=[-0.063, 1.139]
Cross 0? Yes (Crosses 0)
P(Δ>0)=0.963
Δ mean=0.549"
gamma,0.08616666666666667,0.9138333333333334,-0.1266557999474223,-0.3064907454595051,0.05121853618419877,TRUE,Crosses 0,"95% HDI=[-0.306, 0.051]
Cross 0? Yes (Crosses 0)
P(Δ>0)=0.086
Δ mean=-0.127"
