trial,top1_accuracy
1,0.5892857142857143
2,0.5357142857142857
3,0.6071428571428571
4,0.6428571428571429
5,0.7142857142857143
6,0.6428571428571429
7,0.875
8,0.6607142857142857
9,0.5892857142857143
10,0.7678571428571429
11,0.6428571428571429
12,0.75
13,0.75
14,0.7678571428571429
15,0.6607142857142857
16,0.7142857142857143
17,0.8571428571428571
18,0.5
19,0.7142857142857143
20,0.6607142857142857
21,0.75
22,0.7321428571428571
23,0.7321428571428571
24,0.6428571428571429
25,0.7321428571428571
26,0.7142857142857143
27,0.5714285714285714
28,0.6785714285714286
29,0.75
30,0.7142857142857143
31,0.6964285714285714
32,0.7142857142857143
33,0.7142857142857143
34,0.7857142857142857
35,0.5892857142857143
36,0.6964285714285714
37,0.625
38,0.7857142857142857
39,0.8035714285714286
40,0.6964285714285714
