parameter,group,mean,q025,q17,q83,q975,dmax,y95,y66,ydot
alpha,Full Feedback,0.6035051230608705,0.30251025183376057,0.45792761941446364,0.7499180528558036,0.9040947779689414,2.6250183536191622,0.14437600944905393,0.22312656005762882,0.30187711066620365
alpha,Partial Feedback,1.6840385778766178,1.3803304447558098,1.5336070240442083,1.8340509993664234,1.985678335697287,2.6250183536191622,0.09187564237667069,0.17062619298524556,0.24937674359382042
beta_restored,Full Feedback,0.032553506764163166,-0.3030535502513469,-0.11040907918371987,0.17860481745547152,0.4327047814286486,7.182287354540485,0.39502580449972663,0.6104944251359412,0.8259630457721557
beta_restored,Partial Feedback,-0.3545918465597646,-0.48117436903776695,-0.4084349989356545,-0.3003531254731872,-0.24513628127574005,7.182287354540485,0.251380057408917,0.4668486780451315,0.682317298681346
gamma,Full Feedback,0.01524626897595434,-0.06633681965723694,-0.02510983758694805,0.05553384243104373,0.09688373224280199,9.067824552284783,0.4987303503756631,0.7707650869442066,1.04279982351275
gamma,Partial Feedback,0.28896119110636126,0.19742891919819114,0.2448679712193919,0.3330232564962024,0.38156914925480034,9.067824552284783,0.3173738593299674,0.5894085958985109,0.8614433324670544
